# SDTrimSP: VERSION 7.03    17.08.2025
T -> B  flux=5E20                                                               
          10   maxnumber (stopped-recoil E(start)>ED)  
       10000         640  ! NH NR
#     species     gen/coll      fluence start-energy      x_start      y_start      z_start        x_end        y_end        z_end        x_max        y_max        z_max         cosp         cosa   pathlength e_transf_sum     e_transf   e_con_elec  e_transf>ED         time
            2            1  0.10000E+00  0.33377E+02  0.10082E+02  0.39875E+02  0.95623E+01  0.13460E+02  0.38563E+02  0.86977E+01  0.33782E+01  0.14159E+01  0.86468E+00  0.00000E+00  0.00000E+00  0.47813E+01  0.30913E+02  0.29433E+02  0.24638E+01  0.00000E+00  0.29438E+02
            2            1  0.10000E+00  0.32799E+02  0.84897E+00  0.19805E+02 -0.41211E+00  0.32627E+01  0.19872E+02 -0.21684E+01  0.24137E+01  0.64381E+00  0.17563E+01  0.00000E+00  0.00000E+00  0.32624E+01  0.31512E+02  0.30297E+02  0.12869E+01  0.00000E+00  0.15403E+02
            2            1  0.10000E+00  0.52740E+02  0.55951E+01  0.55270E+02 -0.36194E+01  0.42389E+01  0.58414E+02 -0.21414E+01  0.13562E+01  0.31439E+01  0.16255E+01  0.00000E+00  0.00000E+00  0.42123E+01  0.49661E+02  0.48024E+02  0.30787E+01  0.00000E+00  0.26382E+02
            2            1  0.10000E+00  0.39501E+02  0.60776E+01  0.72384E+02 -0.10364E+02  0.57709E+01  0.76344E+02 -0.11949E+02  0.62803E+00  0.39599E+01  0.15848E+01  0.00000E+00  0.00000E+00  0.47562E+01  0.36694E+02  0.35573E+02  0.28071E+01  0.00000E+00  0.26093E+02
            2            1  0.10000E+00  0.33402E+02  0.10790E+02  0.29521E+02  0.16703E+02  0.10940E+02  0.30749E+02  0.19576E+02  0.24940E+00  0.12277E+01  0.28728E+01  0.00000E+00  0.00000E+00  0.39028E+01  0.31564E+02  0.28615E+02  0.18377E+01  0.00000E+00  0.37208E+02
            2            1  0.10000E+00  0.27818E+02  0.49732E+01  0.47041E+02 -0.33048E+01  0.56193E+01  0.49733E+02 -0.20295E+01  0.70786E+00  0.26916E+01  0.12753E+01  0.00000E+00  0.00000E+00  0.31650E+01  0.26697E+02  0.25853E+02  0.11204E+01  0.00000E+00  0.17000E+02
            2            1  0.10000E+00  0.30376E+02  0.82659E+00  0.23356E+02 -0.44298E+00  0.11857E+00  0.24365E+02 -0.20120E+01  0.69433E+00  0.76013E+00  0.99624E+00  0.00000E+00  0.00000E+00 -0.53687E+00  0.29396E+02  0.29396E+02  0.97991E+00  0.25652E+02  0.62093E+01
            2            1  0.10000E+00  0.34690E+02  0.67401E+01  0.29430E+02  0.79050E+01  0.41075E+01  0.31427E+02  0.10226E+02  0.26327E+01  0.19963E+01  0.23206E+01  0.00000E+00  0.00000E+00  0.43694E+01  0.32602E+02  0.30929E+02  0.20872E+01  0.00000E+00  0.32498E+02
            2            1  0.10000E+00  0.27504E+02  0.70927E-01  0.15427E+02 -0.43872E-01  0.29594E+01  0.14515E+02 -0.14947E+01  0.28885E+01  0.91241E+00  0.17424E+01  0.00000E+00  0.00000E+00  0.44365E+01  0.25698E+02  0.22759E+02  0.18058E+01  0.00000E+00  0.38260E+02
            2            1  0.10000E+00  0.52544E+02  0.43881E+00  0.19665E+02 -0.17376E+00  0.14813E+01  0.21151E+02 -0.10241E+01  0.10082E+01  0.10168E+01  0.19833E+01  0.00000E+00  0.00000E+00  0.28496E+01  0.50959E+02  0.49398E+02  0.15851E+01  0.37603E+02  0.15810E+02
#ende
          10   number particle from SDTrimSP
