# SDTrimSP: VERSION 7.03    18.08.2025
T -> B  flux=5E20                                                               
          10   maxnumber (back_sputtered-recoil)       
        4000         640  ! NH NR
#     species     gen/coll      fluence   end-energy      x_start      y_start      z_start        x_end        y_end        z_end        x_max        y_max        z_max         cosp         cosa   pathlength e_transf_sum     e_transf   e_con_elec  e_transf>ED         time
            2            1  0.12500E+00  0.27324E+03  0.10463E+02  0.25903E+03 -0.31033E+02 -0.47864E+01  0.26795E+03 -0.49438E+02  0.15250E+02  0.89181E+01  0.18404E+02  0.91838E+00  0.45200E+00  0.21549E+02  0.23447E+03  0.22845E+03  0.65879E+02  0.17451E+03  0.25322E+02
            2            1  0.12500E+00  0.10080E+01  0.31263E+01  0.32365E+02 -0.12001E+00 -0.42094E+01  0.30862E+02 -0.43219E+00  0.73357E+01  0.15029E+01  0.31218E+00  0.74260E+00 -0.97536E+00  0.13690E+01  0.10534E+02  0.99331E+01  0.13996E+01  0.00000E+00  0.28191E+02
            2            1  0.12500E+00  0.72073E+01  0.22202E+01  0.42456E+03  0.14389E+03 -0.46622E+01  0.42317E+03  0.14623E+03  0.68823E+01  0.13915E+01  0.23396E+01  0.81262E+00 -0.69901E+00  0.15074E+01  0.86482E+01  0.78413E+01  0.14445E+01  0.00000E+00  0.15073E+02
            2            1  0.12500E+00  0.10293E+02  0.51206E+00  0.19792E+02  0.12779E-01 -0.51417E+01  0.21407E+02  0.59335E+00  0.56538E+01  0.16149E+01  0.58057E+00  0.94069E+00  0.94103E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.28240E+00  0.00000E+00  0.33631E+01
            2            1  0.12500E+00  0.75798E+02  0.71480E+01  0.10849E+03  0.10388E+02 -0.46541E+01  0.12308E+03  0.21400E+02  0.11802E+02  0.14592E+02  0.11012E+02  0.71601E+00  0.78789E+00  0.17459E+02  0.17162E+03  0.16555E+03  0.36783E+02  0.99247E+02  0.34688E+02
            2            1  0.12500E+00  0.49664E+01  0.93427E+00  0.21070E+02 -0.68581E-01 -0.45021E+01  0.22344E+02 -0.41299E+01  0.54364E+01  0.12732E+01  0.40613E+01  0.80973E+00  0.36041E+00  0.15804E+01  0.47838E+02  0.47838E+02  0.21329E+01  0.47838E+02  0.13265E+02
            2            1  0.12500E+00  0.27860E+02  0.16128E+01  0.24920E+02  0.21173E+00 -0.38962E+01  0.26851E+02  0.11228E+01  0.55090E+01  0.19317E+01  0.91106E+00  0.92290E+00  0.90445E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.13853E+01  0.00000E+00  0.72039E+01
            2            1  0.12500E+00  0.16323E+03  0.44111E+01  0.78546E+02 -0.31620E+01 -0.42882E+01  0.82636E+02 -0.12060E+02  0.86993E+01  0.49611E+01  0.88981E+01  0.88271E+00 -0.31069E+00  0.96758E+01  0.24915E+03  0.24760E+03  0.27057E+02  0.20004E+03  0.14857E+02
            2            1  0.12500E+00  0.99728E+02  0.42830E+01  0.37257E+02 -0.51107E-01 -0.38408E+01  0.34722E+02 -0.83320E+01  0.81237E+01  0.25348E+01  0.82809E+01  0.82992E+00 -0.81888E+00  0.76635E+01  0.15120E+03  0.14967E+03  0.16799E+02  0.12588E+03  0.16757E+02
            2            1  0.12500E+00  0.62845E+03  0.62514E+01  0.26442E+03  0.15997E+02 -0.42005E+01  0.27301E+03  0.15580E+02  0.10452E+02  0.85892E+01  0.99820E+00  0.79255E+00  0.97012E+00  0.78744E+01  0.10156E+03  0.97773E+02  0.31245E+02  0.97773E+02  0.76489E+01
#ende
          10   number particle from SDTrimSP
