# SDTrimSP: VERSION 7.03    16.08.2025
T -> B  flux=5E20                                                               
          10   maxnumber (back_sputtered-recoil)       
       10000         640  ! NH NR
#     species     gen/coll      fluence   end-energy      x_start      y_start      z_start        x_end        y_end        z_end        x_max        y_max        z_max         cosp         cosa   pathlength e_transf_sum     e_transf   e_con_elec  e_transf>ED         time
            2            1  0.10000E+00  0.47904E+01  0.30465E+00  0.16541E+02  0.43851E+00 -0.42899E+01  0.19509E+02  0.52408E+00  0.45946E+01  0.29681E+01  0.85570E-01  0.85981E+00  0.99663E+00 -0.57365E+00  0.62132E+01  0.53510E+01  0.43731E+00  0.00000E+00  0.49228E+01
            2            1  0.10000E+00  0.74892E+01  0.13449E+00  0.20067E+02 -0.29813E+00 -0.35809E+01  0.24258E+02 -0.21803E+01  0.37154E+01  0.41908E+01  0.18822E+01  0.30449E+00  0.91222E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.10041E+00  0.00000E+00  0.15066E+01
            2            1  0.10000E+00  0.55299E+01  0.28823E+00  0.14759E+02  0.11300E+00 -0.47446E+01  0.19587E+02  0.69706E+00  0.50328E+01  0.48281E+01  0.58407E+00  0.91011E+00  0.99476E+00  0.00000E+00  0.70965E+01  0.63691E+01  0.10582E+01  0.00000E+00  0.10465E+02
            2            2  0.10000E+00  0.71034E+01  0.35244E+00  0.20386E+02  0.19760E+00 -0.34492E+01  0.29168E+02 -0.56006E+00  0.38017E+01  0.87817E+01  0.91326E+00  0.20817E+00  0.99875E+00  0.00000E+00  0.26566E+01  0.26566E+01  0.78800E+00  0.00000E+00  0.12049E+03
            2            2  0.10000E+00  0.16021E+01  0.13047E+01  0.22664E+02 -0.51189E+01 -0.37392E+01  0.24548E+02 -0.73447E+01  0.50439E+01  0.18833E+01  0.22258E+01  0.66229E+00  0.54059E+00  0.00000E+00  0.82473E+00  0.00000E+00  0.64484E+00  0.00000E+00  0.20845E+03
            2            2  0.10000E+00  0.44688E+01  0.37198E+00  0.20690E+02 -0.34223E+00 -0.43281E+01  0.24199E+02  0.36982E+00  0.47001E+01  0.35088E+01  0.71205E+00  0.56979E+00  0.98002E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.18904E+00  0.00000E+00  0.29884E+03
            2            2  0.10000E+00  0.87473E+01  0.13749E+00  0.15051E+02  0.48736E-01 -0.36638E+01  0.22039E+02 -0.43685E+01  0.38013E+01  0.69881E+01  0.44173E+01  0.44654E+00  0.72802E+00  0.19695E+01  0.59013E+01  0.42867E+01  0.18752E+01  0.00000E+00  0.38736E+03
            2            1  0.20000E+00  0.69584E+01  0.15470E+00  0.14727E+02 -0.57577E-01 -0.36402E+01  0.18165E+02  0.18787E+01  0.37949E+01  0.34382E+01  0.19363E+01  0.67669E+00  0.78671E+00 -0.50745E+00  0.61730E+01  0.61730E+01  0.47674E+00  0.00000E+00  0.46950E+01
            2            1  0.20000E+00  0.25678E+01  0.20457E+00  0.13612E+02  0.12316E+00 -0.34328E+01  0.19004E+02  0.18560E+01  0.36373E+01  0.53921E+01  0.17328E+01  0.46893E+00  0.99545E+00  0.33222E+01  0.96623E+01  0.75356E+01  0.19905E+01  0.00000E+00  0.21527E+02
            2            1  0.20000E+00  0.10982E+02  0.25985E-01  0.13670E+02 -0.12075E+00 -0.36946E+01  0.19587E+02 -0.31267E+01  0.37206E+01  0.59177E+01  0.30059E+01  0.47400E+00  0.86146E+00  0.00000E+00  0.35832E+01  0.18872E+01  0.10089E+00  0.00000E+00  0.93130E+00
#ende
          10   number particle from SDTrimSP
