# SDTrimSP: VERSION 7.03    18.08.2025
T -> B  flux=5E20                                                               
          10   maxnumber (stopped-recoil E(start)>ED)  
        4000         640  ! NH NR
#     species     gen/coll      fluence start-energy      x_start      y_start      z_start        x_end        y_end        z_end        x_max        y_max        z_max         cosp         cosa   pathlength e_transf_sum     e_transf   e_con_elec  e_transf>ED         time
            2            1  0.12500E+00  0.58614E+03  0.20561E+02  0.26036E+03 -0.23023E+02  0.20229E+02  0.26999E+03 -0.30639E+02  0.12868E+01  0.92811E+01  0.76181E+01  0.00000E+00  0.00000E+00  0.13311E+02  0.55059E+03  0.54652E+03  0.34628E+02  0.49825E+03  0.20456E+02
            2            1  0.12500E+00  0.59578E+02  0.12205E+03  0.43808E+03  0.19693E+02  0.12561E+03  0.43875E+03  0.19108E+02  0.34983E+01  0.62151E+00  0.57894E+00  0.00000E+00  0.00000E+00  0.40244E+01  0.56397E+02  0.55198E+02  0.31808E+01  0.27730E+02  0.24773E+02
            2            1  0.12500E+00  0.37792E+02  0.12078E+03  0.53412E+03  0.11722E+02  0.12231E+03  0.53677E+03  0.78276E+01  0.15324E+01  0.26542E+01  0.43206E+01  0.00000E+00  0.00000E+00  0.62016E+01  0.34282E+02  0.32370E+02  0.35094E+01  0.00000E+00  0.43951E+02
            2            1  0.12500E+00  0.57683E+02  0.11912E+03  0.56240E+03  0.20030E+02  0.11332E+03  0.56135E+03  0.20730E+02  0.58004E+01  0.10505E+01  0.13210E+01  0.00000E+00  0.00000E+00  0.65908E+01  0.53573E+02  0.51843E+02  0.41105E+01  0.00000E+00  0.39055E+02
            2            1  0.12500E+00  0.46405E+02  0.14547E+03  0.85806E+03  0.12189E+03  0.14496E+03  0.85935E+03  0.12040E+03  0.18636E+01  0.20023E+01  0.87740E+00  0.00000E+00  0.00000E+00  0.31072E+01  0.44920E+02  0.44897E+02  0.14857E+01  0.26174E+02  0.14601E+02
            2            1  0.12500E+00  0.90238E+02  0.14673E+03  0.85891E+03  0.12328E+03  0.14661E+03  0.86074E+03  0.12407E+03  0.13872E+01  0.15172E+01  0.31844E+01  0.00000E+00  0.00000E+00  0.49198E+01  0.85693E+02  0.83843E+02  0.40100E+01  0.63992E+02  0.24679E+02
            2            1  0.12500E+00  0.54503E+02  0.17089E+03  0.84285E+03  0.12029E+03  0.17246E+03  0.84120E+03  0.11707E+03  0.25955E+01  0.10856E+01  0.43115E+01  0.00000E+00  0.00000E+00  0.61469E+01  0.50244E+02  0.46675E+02  0.42595E+01  0.27688E+02  0.40019E+02
            2            1  0.12500E+00  0.12529E+03  0.35307E+02  0.13541E+03  0.13343E+02  0.31566E+02  0.13541E+03  0.11558E+02  0.38448E+01  0.56812E+00  0.17847E+01  0.00000E+00  0.00000E+00  0.65623E+01  0.12005E+03  0.11856E+03  0.52422E+01  0.81978E+02  0.32930E+02
            2            1  0.12500E+00  0.32779E+02  0.57305E+03  0.31699E+03 -0.33384E+03  0.57038E+03  0.31993E+03 -0.33582E+03  0.26666E+01  0.29394E+01  0.19788E+01  0.00000E+00  0.00000E+00  0.46732E+01  0.30591E+02  0.30052E+02  0.21876E+01  0.00000E+00  0.31502E+02
            2            1  0.12500E+00  0.25882E+02  0.65798E+03  0.26228E+03 -0.34221E+03  0.65795E+03  0.26014E+03 -0.34003E+03  0.56045E+00  0.22754E+01  0.21777E+01  0.00000E+00  0.00000E+00  0.40442E+01  0.24018E+02  0.21150E+02  0.18640E+01  0.00000E+00  0.37292E+02
#ende
          10   number particle from SDTrimSP
