# SDTrimSP: VERSION 7.03    17.08.2025
T -> B  flux=5E20                                                               
          10   maxnumber (stopped-recoil E(start)>ED)  
       10000         640  ! NH NR
#     species     gen/coll      fluence start-energy      x_start      y_start      z_start        x_end        y_end        z_end        x_max        y_max        z_max         cosp         cosa   pathlength e_transf_sum     e_transf   e_con_elec  e_transf>ED         time
            2            1  0.10000E+00  0.27904E+02  0.18625E+02  0.74530E+02  0.10057E+02  0.21157E+02  0.75178E+02  0.10088E+02  0.25320E+01  0.64764E+00  0.52023E+00  0.00000E+00  0.00000E+00  0.30288E+01  0.25919E+02  0.24504E+02  0.17113E+01  0.00000E+00  0.19683E+02
            2            1  0.10000E+00  0.77851E+02  0.18072E+02  0.90311E+02  0.97926E+01  0.12036E+02  0.94778E+02  0.12281E+02  0.60357E+01  0.44666E+01  0.24888E+01  0.00000E+00  0.00000E+00  0.87057E+01  0.70963E+02  0.68608E+02  0.68888E+01  0.00000E+00  0.39009E+02
            2            1  0.10000E+00  0.10448E+03  0.22224E+02  0.94542E+02  0.10450E+02  0.19947E+02  0.10282E+03  0.21713E+02  0.22773E+01  0.82794E+01  0.11263E+02  0.00000E+00  0.00000E+00  0.16578E+02  0.87793E+02  0.79536E+02  0.16682E+02  0.00000E+00  0.61124E+02
            2            1  0.10000E+00  0.84077E+02  0.54453E+02  0.15206E+03 -0.10280E+02  0.54686E+02  0.15401E+03 -0.99567E+01  0.10667E+01  0.29300E+01  0.18455E+01  0.00000E+00  0.00000E+00  0.45286E+01  0.81111E+02  0.78620E+02  0.29654E+01  0.64468E+02  0.29471E+02
            2            1  0.10000E+00  0.27145E+02  0.64301E+02  0.14236E+03 -0.28900E+01  0.65366E+02  0.14207E+03  0.13086E+01  0.12591E+01  0.29026E+00  0.41987E+01  0.00000E+00  0.00000E+00  0.46167E+01  0.25139E+02  0.23732E+02  0.20064E+01  0.00000E+00  0.34432E+02
            2            1  0.10000E+00  0.40039E+02  0.89644E+01  0.65906E+02 -0.52596E+01  0.64662E+01  0.67080E+02 -0.50118E+01  0.24982E+01  0.11741E+01  0.83111E+00  0.00000E+00  0.00000E+00  0.31262E+01  0.37710E+02  0.37333E+02  0.22072E+01  0.00000E+00  0.15747E+02
            2            1  0.10000E+00  0.88432E+02  0.53023E+02  0.11087E+03 -0.11654E+02  0.57459E+02  0.11106E+03 -0.10548E+02  0.44361E+01  0.42639E+00  0.11060E+01  0.00000E+00  0.00000E+00  0.49359E+01  0.83569E+02  0.80830E+02  0.43878E+01  0.49651E+02  0.21537E+02
            2            1  0.10000E+00  0.33584E+02  0.34608E+02  0.14625E+03 -0.11374E+02  0.37817E+02  0.14500E+03 -0.12348E+02  0.32090E+01  0.12487E+01  0.97392E+00  0.00000E+00  0.00000E+00  0.46817E+01  0.31487E+02  0.29713E+02  0.20963E+01  0.00000E+00  0.33189E+02
            2            1  0.10000E+00  0.19976E+03  0.54463E+01  0.42302E+02  0.52642E+00  0.10409E+02  0.45076E+02 -0.43638E+01  0.46947E+01  0.33107E+01  0.55503E+01  0.00000E+00  0.00000E+00  0.84630E+01  0.18579E+03  0.18237E+03  0.13971E+02  0.16565E+03  0.25382E+02
            2            1  0.10000E+00  0.30579E+02  0.22829E+01  0.49972E+02  0.13895E+02  0.38968E+01  0.50070E+02  0.15587E+02  0.16139E+01  0.60109E+00  0.16916E+01  0.00000E+00  0.00000E+00  0.26904E+01  0.29449E+02  0.27492E+02  0.11302E+01  0.00000E+00  0.19474E+02
#ende
          10   number particle from SDTrimSP
