# SDTrimSP: VERSION 7.03    16.08.2025
T -> B  flux=5E20                                                               
          10   maxnumber (back_sputtered-recoil)       
       10000         640  ! NH NR
#     species     gen/coll      fluence   end-energy      x_start      y_start      z_start        x_end        y_end        z_end        x_max        y_max        z_max         cosp         cosa   pathlength e_transf_sum     e_transf   e_con_elec  e_transf>ED         time
            2            1  0.10000E+00  0.52723E+01  0.45663E-01  0.13125E+02 -0.45238E+00 -0.34938E+01  0.19552E+02 -0.20029E+01  0.35395E+01  0.64266E+01  0.15505E+01  0.10164E+00  0.99878E+00  0.00000E+00  0.34092E+01  0.24811E+01  0.44374E+00  0.00000E+00  0.59021E+01
            2            1  0.30000E+00  0.14962E+01  0.18125E-01  0.13736E+02  0.20564E+01 -0.45246E+01  0.15612E+02  0.44594E+01  0.45428E+01  0.18761E+01  0.24030E+01  0.60420E+00  0.63979E+00 -0.72392E+00  0.42039E+01  0.42039E+01  0.19779E-01  0.00000E+00  0.35476E+00
            2            2  0.30000E+00  0.27457E+01  0.46305E+00  0.19836E+02 -0.31711E+01 -0.45009E+01  0.22430E+02 -0.50534E+01  0.49639E+01  0.25935E+01  0.18823E+01  0.55144E+00  0.80930E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.19883E+00  0.00000E+00  0.61080E+02
            2            1  0.40000E+00  0.38558E+00  0.91056E+00  0.17489E+02 -0.25735E+01 -0.49103E+01  0.16886E+02 -0.33881E+01  0.58209E+01  0.60292E+00  0.81455E+00  0.82733E+00 -0.59494E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.27049E+00  0.00000E+00  0.10587E+02
            2            1  0.40000E+00  0.30350E+01  0.76003E+00  0.17925E+02 -0.22164E+01 -0.45024E+01  0.23063E+02 -0.40417E+01  0.52624E+01  0.51381E+01  0.18253E+01  0.35824E+00  0.88999E+00  0.19695E+01  0.44712E+01  0.44712E+01  0.10145E+01  0.00000E+00  0.14887E+02
            2            1  0.40000E+00  0.58521E+01  0.76409E-01  0.16253E+02 -0.38159E+00 -0.39015E+01  0.20386E+02 -0.12872E+01  0.39779E+01  0.41333E+01  0.90557E+00  0.57433E+00  0.98834E+00  0.00000E+00  0.16626E+01  0.16626E+01  0.74507E-01  0.00000E+00  0.11173E+01
            2            1  0.40000E+00  0.23076E+01  0.40699E-01  0.19057E+02  0.19478E+01 -0.50068E+01  0.22127E+02  0.20314E+01  0.50475E+01  0.30701E+01  0.83586E-01  0.53918E+00  0.99963E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.16370E-01  0.00000E+00  0.45785E+00
            2            1  0.50000E+00  0.40291E+01  0.22778E-01  0.16824E+03 -0.15621E+01 -0.36324E+01  0.17385E+03  0.57129E+00  0.36552E+01  0.56141E+01  0.21334E+01  0.45520E+00  0.80518E+00 -0.55364E+00  0.70234E+01  0.70234E+01  0.15102E+00  0.00000E+00  0.17188E+01
            2            1  0.50000E+00  0.44501E+01  0.15426E+00  0.13315E+02 -0.40085E-01 -0.34004E+01  0.17792E+02 -0.93999E+00  0.35547E+01  0.44769E+01  0.89990E+00  0.31405E+00  0.96593E+00  0.00000E+00  0.17765E+01  0.17765E+01  0.18261E+00  0.00000E+00  0.30653E+01
            2            1  0.50000E+00  0.10580E+01  0.32229E+00  0.15516E+02  0.17990E+00 -0.43013E+01  0.18281E+02  0.20200E+01  0.46236E+01  0.27649E+01  0.18401E+01  0.39093E+00  0.74880E+00  0.00000E+00  0.21195E+01  0.21195E+01  0.22100E+00  0.00000E+00  0.52896E+01
#ende
          10   number particle from SDTrimSP
