# SDTrimSP: VERSION 7.03    18.08.2025
T -> B  flux=5E20                                                               
          10   maxnumber (stopped-recoil E(start)>ED)  
        4000         640  ! NH NR
#     species     gen/coll      fluence start-energy      x_start      y_start      z_start        x_end        y_end        z_end        x_max        y_max        z_max         cosp         cosa   pathlength e_transf_sum     e_transf   e_con_elec  e_transf>ED         time
            2            1  0.12500E+00  0.50065E+03  0.30469E+02  0.26067E+03 -0.15075E+02  0.26109E+02  0.26909E+03 -0.35970E+02  0.56505E+01  0.82977E+01  0.20741E+02  0.00000E+00  0.00000E+00  0.24756E+02  0.43847E+03  0.43284E+03  0.62179E+02  0.33710E+03  0.37446E+02
            2            1  0.12500E+00  0.88989E+02  0.10195E+02  0.51574E+03  0.26195E+03  0.79823E+01  0.51984E+03  0.25380E+03  0.22129E+01  0.56514E+01  0.84173E+01  0.00000E+00  0.00000E+00  0.12271E+02  0.77597E+02  0.74280E+02  0.11392E+02  0.00000E+00  0.53792E+02
            2            1  0.12500E+00  0.58875E+02  0.70344E+01  0.53193E+03  0.30201E+03  0.90638E+01  0.52623E+03  0.30223E+03  0.20294E+01  0.57090E+01  0.10290E+01  0.00000E+00  0.00000E+00  0.67224E+01  0.54655E+02  0.51994E+02  0.42200E+01  0.25458E+02  0.36318E+02
            2            1  0.12500E+00  0.49777E+02  0.46027E+01  0.66627E+03  0.40468E+03  0.19045E+01  0.66480E+03  0.40790E+03  0.26982E+01  0.14721E+01  0.32127E+01  0.00000E+00  0.00000E+00  0.49192E+01  0.47003E+02  0.45701E+02  0.27738E+01  0.00000E+00  0.25970E+02
            2            1  0.12500E+00  0.10028E+03  0.22175E+03  0.56816E+03  0.20232E+03  0.22851E+03  0.57403E+03  0.20110E+03  0.67594E+01  0.58707E+01  0.24985E+01  0.00000E+00  0.00000E+00  0.10736E+02  0.90079E+02  0.87622E+02  0.10202E+02  0.00000E+00  0.40213E+02
            2            1  0.12500E+00  0.15863E+03  0.19397E+03  0.67756E+03  0.29542E+03  0.19112E+03  0.68105E+03  0.28355E+03  0.40533E+01  0.42265E+01  0.11872E+02  0.00000E+00  0.00000E+00  0.14667E+02  0.14069E+03  0.13672E+03  0.17942E+02  0.65767E+02  0.46328E+02
            2            1  0.12500E+00  0.29876E+02  0.19363E+03  0.68342E+03  0.30792E+03  0.19287E+03  0.68522E+03  0.30763E+03  0.61831E+00  0.12450E+01  0.24932E+00  0.00000E+00  0.00000E+00  0.14122E+01  0.29876E+02  0.28964E+02  0.00000E+00  0.28964E+02  0.61717E+01
            2            1  0.12500E+00  0.51812E+02  0.12102E+03  0.72515E+03  0.56580E+03  0.11934E+03  0.72167E+03  0.56628E+03  0.14856E+01  0.30474E+01  0.26308E+00  0.00000E+00  0.00000E+00  0.34402E+01  0.49322E+02  0.47936E+02  0.24906E+01  0.37217E+02  0.12177E+02
            2            1  0.12500E+00  0.41706E+02  0.98847E+02  0.78260E+03  0.60503E+03  0.99990E+02  0.78142E+03  0.60621E+03  0.21134E+01  0.61995E+00  0.10424E+01  0.00000E+00  0.00000E+00  0.28947E+01  0.39843E+02  0.38581E+02  0.18615E+01  0.28830E+02  0.18557E+02
            2            1  0.12500E+00  0.76126E+02  0.78847E+02  0.79936E+03  0.61868E+03  0.73371E+02  0.80505E+03  0.62115E+03  0.54756E+01  0.56885E+01  0.24718E+01  0.00000E+00  0.00000E+00  0.88826E+01  0.66725E+02  0.63521E+02  0.82468E+01  0.00000E+00  0.36242E+02
#ende
          10   number particle from SDTrimSP
