# SDTrimSP: VERSION 7.03    19.08.2025
T -> B  flux=5E20                                                               
          10   maxnumber (back_sputtered-recoil)       
        4000         640  ! NH NR
#     species     gen/coll      fluence   end-energy      x_start      y_start      z_start        x_end        y_end        z_end        x_max        y_max        z_max         cosp         cosa   pathlength e_transf_sum     e_transf   e_con_elec  e_transf>ED         time
            2            1  0.12500E+00  0.47577E+03  0.15207E+01  0.24050E+02 -0.45665E-01 -0.40391E+01  0.28758E+02 -0.66706E+01  0.55598E+01  0.47083E+01  0.66249E+01  0.56077E+00  0.57663E+00  0.19695E+01  0.10395E+00  0.00000E+00  0.83171E+01  0.00000E+00  0.29113E+01
            2            1  0.12500E+00  0.11309E+01  0.22992E+00  0.18167E+02 -0.49855E-01 -0.50340E+01  0.19442E+02 -0.24113E+01  0.52639E+01  0.12745E+01  0.23615E+01  0.33130E+00  0.47494E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.80142E-01  0.00000E+00  0.27536E+01
            2            1  0.12500E+00  0.58850E+02  0.41876E+02  0.33533E+03 -0.18502E+02 -0.34898E+01  0.37191E+03  0.37559E+01  0.45366E+02  0.36586E+02  0.22258E+02  0.91778E+00  0.88371E+00  0.64877E+02  0.74238E+03  0.72656E+03  0.19156E+03  0.49822E+03  0.85267E+02
            2            1  0.12500E+00  0.48935E+00  0.38383E+00  0.18955E+02  0.17067E-01 -0.34043E+01  0.19855E+02  0.61360E+00  0.37881E+01  0.89992E+00  0.59654E+00  0.59086E+00  0.83351E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.11613E+00  0.00000E+00  0.45572E+01
            2            1  0.12500E+00  0.53932E+02  0.90663E+01  0.63761E+02 -0.12467E+01 -0.48958E+01  0.69220E+02 -0.12060E+02  0.13962E+02  0.54597E+01  0.13426E+02  0.88846E+00  0.10667E+00  0.17678E+02  0.10034E+04  0.99898E+03  0.75025E+02  0.96227E+03  0.15361E+02
            2            1  0.12500E+00  0.89392E+01  0.73593E+00  0.20379E+02 -0.12767E-01 -0.44784E+01  0.21815E+02 -0.23910E+01  0.52143E+01  0.14369E+01  0.23782E+01  0.82829E+00  0.51713E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.42097E+00  0.00000E+00  0.54957E+01
            2            1  0.12500E+00  0.37573E+02  0.17434E+00  0.17492E+02 -0.15753E-01 -0.34048E+01  0.18641E+02 -0.11922E+01  0.35792E+01  0.11493E+01  0.11765E+01  0.89903E+00  0.69880E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.17232E+00  0.00000E+00  0.70574E+00
            2            1  0.12500E+00  0.11359E+02  0.15941E+01  0.24570E+02 -0.55440E-01 -0.49690E+01  0.23919E+02 -0.36445E+01  0.65631E+01  0.65064E+00  0.35890E+01  0.88788E+00 -0.37335E+00  0.15154E+01  0.73012E+01  0.67017E+01  0.15151E+01  0.00000E+00  0.12700E+02
            2            1  0.12500E+00  0.30841E+02  0.21772E+01  0.84882E+03 -0.19802E+02 -0.38062E+01  0.85318E+03 -0.19715E+02  0.59834E+01  0.43524E+01  0.65027E+00  0.69003E+00  0.99086E+00  0.16673E+01  0.44621E+02  0.44314E+02  0.28514E+01  0.44314E+02  0.79860E+01
            2            1  0.12500E+00  0.97273E+02  0.13971E+00  0.17257E+02  0.12485E-01 -0.37455E+01  0.19027E+02  0.40967E+01  0.38852E+01  0.17704E+01  0.40842E+01  0.64071E+00  0.39771E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.29819E+00  0.00000E+00  0.49999E+00
#ende
          10   number particle from SDTrimSP
