# SDTrimSP: VERSION 7.03    22.10.2025
T -> B  flux=5E20                                                               
          10   maxnumber (back_sputtered-recoil)       
        4000         640  ! NH NR
#     species     gen/coll      fluence   end-energy      x_start      y_start      z_start        x_end        y_end        z_end        x_max        y_max        z_max         cosp         cosa   pathlength e_transf_sum     e_transf   e_con_elec  e_transf>ED         time
            2            1  0.12500E+00  0.86170E+00  0.15956E+01  0.23666E+02  0.44171E+01 -0.41205E+01  0.22834E+02  0.56595E+01  0.57161E+01  0.83221E+00  0.12424E+01  0.81068E+00 -0.55653E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.52096E+00  0.00000E+00  0.17692E+02
            2            1  0.12500E+00  0.10045E+02  0.27908E+00  0.38769E+01  0.60066E-01 -0.43800E+01  0.12036E+02  0.62382E+01  0.46591E+01  0.81591E+01  0.61782E+01  0.23922E+00  0.62676E+00  0.19695E+01  0.36977E+01  0.16821E+01  0.13101E+01  0.00000E+00  0.12142E+02
            2            1  0.12500E+00  0.54940E+01  0.32002E+00  0.68535E+01  0.20088E+00 -0.45136E+01  0.60222E+01  0.34955E+01  0.48337E+01  0.83129E+00  0.32946E+01  0.66598E+00 -0.24465E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.16732E+00  0.00000E+00  0.30317E+01
            2            1  0.12500E+00  0.18811E+02  0.84123E+00  0.69636E+01  0.47757E+01 -0.40698E+01  0.65606E+01  0.79371E+01  0.49111E+01  0.40299E+00  0.31614E+01  0.85652E+00 -0.21105E+00  0.00000E+00  0.20364E+01  0.20364E+01  0.81032E+00  0.00000E+00  0.54580E+01
            2            1  0.12500E+00  0.56172E+01  0.10568E+01  0.86556E+01  0.70867E+00 -0.41606E+01  0.10418E+02 -0.14323E+01  0.52175E+01  0.17619E+01  0.21410E+01  0.79546E+00  0.63544E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.52482E+00  0.00000E+00  0.91295E+01
            2            1  0.12500E+00  0.75516E+01  0.26723E+01  0.48893E+01  0.58450E+01 -0.41921E+01  0.34039E+01  0.12577E+02  0.68644E+01  0.14854E+01  0.67315E+01  0.49535E+00 -0.27442E+00  0.15029E+01  0.84199E+01  0.76077E+01  0.21215E+01  0.00000E+00  0.23656E+02
            2            1  0.12500E+00  0.17689E+02  0.29079E-01  0.21602E+02  0.41140E+01 -0.49346E+01  0.24805E+02  0.39844E+01  0.49637E+01  0.32023E+01  0.12963E+00  0.80212E+00  0.99918E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.22357E-01  0.00000E+00  0.17690E+00
            2            1  0.12500E+00  0.18187E+02  0.93560E+00  0.37804E+01 -0.36982E+01 -0.34853E+01  0.76932E+00 -0.11966E+02  0.44209E+01  0.30111E+01  0.82681E+01  0.19211E+00 -0.34219E+00  0.19695E+01  0.00000E+00  0.00000E+00  0.14015E+01  0.00000E+00  0.10369E+02
            2            1  0.12500E+00  0.80125E+01  0.32131E+01  0.11459E+02 -0.63685E+01 -0.36222E+01  0.13292E+02 -0.79517E+01  0.68353E+01  0.18332E+01  0.17229E+01  0.88344E+00  0.99579E+00  0.38565E+01  0.16628E+02  0.15646E+02  0.25444E+01  0.00000E+00  0.20128E+02
            2            1  0.12500E+00  0.88285E+01  0.95165E+00  0.11348E+02  0.11963E+01 -0.40545E+01  0.19009E+02 -0.10945E+01  0.50062E+01  0.76602E+01  0.22908E+01  0.38875E+00  0.98432E+00  0.14930E+01  0.71254E+01  0.62116E+01  0.18480E+01  0.00000E+00  0.18277E+02
#ende
          10   number particle from SDTrimSP
