# SDTrimSP: VERSION 7.03    22.10.2025
T -> B  flux=5E20                                                               
          10   maxnumber (stopped-recoil E(start)>ED)  
        4000         640  ! NH NR
#     species     gen/coll      fluence start-energy      x_start      y_start      z_start        x_end        y_end        z_end        x_max        y_max        z_max         cosp         cosa   pathlength e_transf_sum     e_transf   e_con_elec  e_transf>ED         time
            2            1  0.12500E+00  0.44103E+02  0.23780E+01  0.53420E+01 -0.11674E-01  0.30331E+01  0.10211E+02 -0.23394E+01  0.15442E+01  0.48695E+01  0.23277E+01  0.00000E+00  0.00000E+00  0.66091E+01  0.40287E+02  0.38208E+02  0.38166E+01  0.00000E+00  0.39085E+02
            2            1  0.12500E+00  0.30717E+02  0.56150E+01  0.56231E+01 -0.19905E+01  0.82985E+01  0.57721E+01 -0.10106E+01  0.26835E+01  0.36357E+00  0.97986E+00  0.00000E+00  0.00000E+00  0.31114E+01  0.29537E+02  0.29064E+02  0.11808E+01  0.00000E+00  0.16821E+02
            2            1  0.12500E+00  0.36567E+02  0.38374E+01  0.99789E+01 -0.68022E+01  0.48228E+01  0.11144E+02 -0.81266E+01  0.12291E+01  0.58260E+00  0.22868E+01  0.00000E+00  0.00000E+00  0.29575E+01  0.34851E+02  0.33077E+02  0.17161E+01  0.25132E+02  0.18055E+02
            2            1  0.12500E+00  0.27830E+02  0.69531E+01  0.25809E+00  0.27062E+01  0.98961E+01 -0.17982E+01 -0.15322E+00  0.29430E+01  0.20563E+01  0.28594E+01  0.00000E+00  0.00000E+00  0.47667E+01  0.25592E+02  0.23333E+02  0.22379E+01  0.00000E+00  0.30799E+02
            2            1  0.12500E+00  0.35580E+02  0.26423E+01  0.67333E+01 -0.52845E-01  0.32570E+01  0.81314E+01 -0.13697E+01  0.16641E+01  0.18346E+01  0.73650E+00  0.00000E+00  0.00000E+00  0.28736E+01  0.33614E+02  0.31994E+02  0.17358E+01  0.25270E+02  0.18918E+02
            2            1  0.12500E+00  0.25197E+02  0.21637E+01  0.52896E+01  0.13237E+00  0.63513E+01  0.70008E+01 -0.24109E+00  0.41876E+01  0.17112E+01  0.37346E+00  0.00000E+00  0.00000E+00  0.46958E+01  0.23139E+02  0.21291E+02  0.20576E+01  0.00000E+00  0.34602E+02
            2            1  0.12500E+00  0.30745E+02  0.13239E+02  0.16401E+02 -0.70519E+01  0.15374E+02  0.17655E+02 -0.83394E+01  0.21345E+01  0.12539E+01  0.12875E+01  0.00000E+00  0.00000E+00  0.30683E+01  0.29576E+02  0.28162E+02  0.11692E+01  0.00000E+00  0.16514E+02
            2            1  0.12500E+00  0.25507E+02  0.39856E+01  0.59472E+01  0.10692E+00  0.65850E+01  0.53046E+01  0.13822E+01  0.25994E+01  0.64259E+00  0.12752E+01  0.00000E+00  0.00000E+00  0.30795E+01  0.24450E+02  0.22551E+02  0.10566E+01  0.00000E+00  0.17498E+02
            2            1  0.12500E+00  0.33557E+02  0.77051E+01  0.14050E+02 -0.58091E+00  0.84954E+01  0.16906E+02  0.28458E+01  0.79034E+00  0.28566E+01  0.34267E+01  0.00000E+00  0.00000E+00  0.46400E+01  0.31300E+02  0.29757E+02  0.22577E+01  0.00000E+00  0.33019E+02
            2            1  0.12500E+00  0.38868E+02  0.53094E+01  0.93713E+01  0.10025E+01  0.96377E+01  0.10761E+02  0.24979E+01  0.43283E+01  0.14811E+01  0.15188E+01  0.00000E+00  0.00000E+00  0.50803E+01  0.35394E+02  0.33929E+02  0.34739E+01  0.00000E+00  0.25445E+02
#ende
          10   number particle from SDTrimSP
