Time (s),TC1 (C),TC2 (C)
0.005,32.0,18.2
0.065,32.5,18.2
0.125,32.5,18.2
0.185,32.75,18.2
0.245,33.25,18.2
0.305,33.75,18.2
0.365,34.25,18.5
0.425,34.25,18.2
0.485,34.5,18.2
0.545,35.0,18.2
0.605,35.25,18.2
0.665,36.75,18.2
0.725,36.75,18.2
0.785,38.25,18.2
0.845,39.75,18.2
0.905,41.25,18.2
0.965,42.5,18.2
1.025,42.5,18.2
1.085,43.5,18.2
1.145,45.5,18.2
1.205,47.0,18.2
1.265,50.0,18.2
1.325,50.0,18.2
1.385,55.5,18.2
1.445,63.25,18.2
1.505,72.75,18.2
1.565,82.0,18.2
1.625,90.0,18.2
1.685,90.0,18.2
1.745,97.0,18.2
1.805,102.5,18.2
1.865,107.25,18.2
1.925,111.0,18.2
1.985,111.0,18.0
2.045,114.25,18.0
2.105,118.0,18.2
2.165,123.0,18.2
2.225,130.0,18.2
2.285,130.0,18.2
2.345,139.0,18.2
2.405,149.25,18.2
2.465,160.25,18.2
2.525,171.5,18.2
2.585,171.5,18.2
2.645,182.5,18.2
2.705,193.5,18.5
2.765,204.0,18.2
2.825,214.0,18.2
2.885,214.0,18.2
2.945,223.25,18.2
3.005,232.0,18.2
3.065,240.25,18.2
3.125,248.0,18.2
3.185,255.25,18.2
3.245,255.25,18.2
3.305,261.75,18.2
3.365,267.75,18.2
3.425,273.5,18.2
3.485,278.75,18.2
3.545,278.75,18.2
3.605,284.0,18.2
3.665,288.75,18.2
3.725,293.5,18.2
3.785,298.0,18.2
3.845,298.0,18.2
3.905,302.5,18.5
3.965,306.5,18.5
4.025,310.5,18.5
4.085,314.25,18.5
4.145,314.25,18.5
4.205,317.75,18.5
4.265,321.0,18.5
4.325,324.25,18.5
4.385,327.25,18.5
4.445,327.25,18.5
4.505,330.25,18.5
4.565,333.0,18.5
4.625,335.75,18.5
4.685,338.0,18.5
4.745,338.0,18.5
4.805,340.5,18.5
4.865,342.75,18.7
4.925,345.0,18.5
4.985,347.0,18.5
5.045,349.0,18.5
5.105,349.0,18.5
5.165,351.0,18.5
5.225,352.75,18.5
5.285,354.75,18.5
5.345,356.25,18.5
5.405,356.25,18.5
5.465,358.0,18.7
5.525,359.5,18.5
5.585,361.0,18.5
5.645,362.25,18.5
5.705,362.25,18.5
5.765,363.75,18.5
5.825,365.0,18.5
5.885,366.5,18.5
5.945,367.5,18.5
6.005,367.5,18.5
6.065,368.75,18.5
6.125,369.75,18.5
6.185,371.0,18.5
6.245,372.25,18.5
6.305,372.25,18.5
6.365,373.0,18.5
6.425,374.0,18.5
6.485,375.0,18.5
6.545,375.75,18.5
6.605,375.75,18.5
6.665,376.75,18.5
6.725,377.75,18.5
6.785,377.75,18.5
6.845,379.25,18.5
6.905,380.0,18.5
6.965,380.0,18.5
7.025,380.25,18.7
7.085,381.25,18.5
7.145,382.0,18.5
7.205,382.75,18.5
7.265,382.75,18.5
7.325,383.5,18.5
7.385,384.0,18.5
7.445,384.5,18.5
7.505,385.25,18.5
7.565,385.25,18.5
7.625,385.75,18.5
7.685,386.5,18.7
7.745,386.75,18.5
7.805,387.25,18.7
7.865,387.25,18.7
