#DataThief C:\Users\erick\OneDrive\Documents\ucsd\Postdoc\research\thermal camera\1025nm_50mm_OD4_SP_filter_86-117_curv_84733.png Monday 14-Nov-2022 5:23:54 PM
Wavelength (nm),O.D.
32
466.25, 3.26
465.63, 3.19
466.28, 2.94
466.92, 2.67
467.56, 2.37
468.22, 2.06
468.85, 1.85
469.49, 1.78
470.12, 1.67
470.76, 1.49
471.4, 1.2
472.06, 0.8
472.72, 0.37
473.35, 0.23
473.98, 0.19
474.6, 0.15
475.23, 0.13
475.85, 0.11
476.47, 9.06e-2
477.09, 8.0e-2
476.47, 9.06e-2
475.85, 0.11
476.47, 0.1
477.09, 9.06e-2
477.71, 8.0e-2
478.34, 6.93e-2
478.96, 5.87e-2
479.58, 4.81e-2
480.2, 3.74e-2
480.81, 3.74e-2
481.44, 3.74e-2
482.06, 3.74e-2
482.68, 3.74e-2
483.3, 3.74e-2
483.92, 3.74e-2
484.54, 3.74e-2
485.17, 3.75e-2
485.79, 3.75e-2
486.41, 3.75e-2
487.03, 3.75e-2
487.65, 3.75e-2
488.27, 3.75e-2
488.89, 3.75e-2
489.51, 3.75e-2
490.13, 3.75e-2
490.75, 2.69e-2
491.37, 2.69e-2
491.99, 2.69e-2
492.6, 2.69e-2
493.23, 2.69e-2
493.85, 2.69e-2
494.48, 2.69e-2
495.1, 2.69e-2
495.72, 2.69e-2
496.34, 2.69e-2
496.96, 2.69e-2
497.58, 2.69e-2
498.2, 2.69e-2
498.81, 2.69e-2
499.44, 2.69e-2
500.06, 2.69e-2
500.68, 2.69e-2
501.3, 2.69e-2
501.92, 2.7e-2
502.54, 2.7e-2
503.16, 2.7e-2
503.78, 2.7e-2
504.4, 2.7e-2
505.03, 2.7e-2
505.65, 2.7e-2
506.27, 2.7e-2
506.89, 2.7e-2
507.51, 2.7e-2
508.13, 2.7e-2
508.75, 2.7e-2
509.37, 2.7e-2
509.99, 2.7e-2
510.6, 2.7e-2
511.23, 2.7e-2
511.85, 2.7e-2
512.47, 2.7e-2
513.09, 2.71e-2
513.71, 2.71e-2
514.33, 2.71e-2
514.95, 2.71e-2
515.56, 2.71e-2
516.2, 2.71e-2
516.81, 2.71e-2
517.44, 2.71e-2
518.06, 2.71e-2
518.68, 2.71e-2
519.3, 2.71e-2
519.92, 2.71e-2
520.54, 2.71e-2
521.16, 2.71e-2
521.78, 2.71e-2
522.4, 2.71e-2
523.02, 2.71e-2
523.64, 2.71e-2
524.26, 2.72e-2
524.88, 2.72e-2
525.5, 2.72e-2
526.12, 2.72e-2
526.75, 2.72e-2
527.37, 2.72e-2
527.99, 2.72e-2
528.6, 2.72e-2
529.23, 2.72e-2
529.85, 2.72e-2
530.47, 2.72e-2
531.09, 2.72e-2
531.71, 2.72e-2
532.33, 2.72e-2
532.95, 2.72e-2
533.56, 2.72e-2
534.19, 2.72e-2
534.81, 2.72e-2
535.43, 2.72e-2
536.05, 2.73e-2
536.67, 2.73e-2
537.3, 2.73e-2
537.92, 2.73e-2
538.54, 2.73e-2
539.16, 2.73e-2
539.78, 2.73e-2
540.4, 2.73e-2
541.02, 2.73e-2
541.64, 2.73e-2
542.26, 2.73e-2
542.88, 2.73e-2
543.5, 2.73e-2
544.12, 2.73e-2
544.74, 2.73e-2
545.35, 2.73e-2
545.98, 2.73e-2
546.6, 2.73e-2
547.22, 2.74e-2
547.85, 2.74e-2
548.47, 2.74e-2
549.09, 2.74e-2
549.71, 2.74e-2
550.33, 2.74e-2
