Wavelength (nm),Transmission (%)
2000,0.8939704895
1999,0.8999021649
1998,0.895993948
1997,0.8914435506
1996,0.8902337551
1995,0.8943140507
1994,0.8943453431
1993,0.9015335441
1992,0.8922693133
1991,0.8897532821
1990,0.8929235935
1989,0.8939560652
1988,0.8917121291
1987,0.8991020918
1986,0.8994910717
1985,0.8988915682
1984,0.8887788057
1983,0.8949161768
1982,0.9008861184
1981,0.9037186503
1980,0.8926215768
1979,0.9023918509
1978,0.9004634023
1977,0.903398931
1976,0.8960558176
1975,0.8868812323
1974,0.8933830857
1973,0.8999444246
1972,0.9013527036
1971,0.9043596983
1970,0.9043145776
1969,0.8942742944
1968,0.8923915029
1967,0.8819108009
1966,0.8942770958
1965,0.8955510259
1964,0.900794208
1963,0.9020018578
1962,0.8965010643
1961,0.8960303664
1960,0.9066595435
1959,0.8925441504
1958,0.8963823318
1957,0.8982387185
1956,0.8974840045
1955,0.8978186846
1954,0.8977410197
1953,0.8868635893
1952,0.8923622966
1951,0.899214685
1950,0.9108768106
1949,0.8957672715
1948,0.8972396851
1947,0.8974654675
1946,0.8928189278
1945,0.8998367786
1944,0.9005602598
1943,0.9045590758
1942,0.8999743462
1941,0.9064336419
1940,0.8943760991
1939,0.8988720179
1938,0.9006852508
1937,0.8871148229
1936,0.9049663544
1935,0.8993739486
1934,0.9082936645
1933,0.9022046924
1932,0.8890436292
1931,0.895819366
1930,0.8987796307
1929,0.9080194831
1928,0.9071646333
1927,0.9060563445
1926,0.8948208094
1925,0.9011586308
1924,0.9040902257
1923,0.888232708
1922,0.9009100199
1921,0.8963881731
1920,0.8975383639
1919,0.9006431103
1918,0.9009874463
1917,0.8962054849
1916,0.9133648872
1915,0.8950788379
1914,0.889388442
1913,0.893571496
1912,0.8976053596
1911,0.899505794
1910,0.9002022743
1909,0.902382493
1908,0.8996272683
1907,0.8921724558
1906,0.9017805457
1905,0.9027807117
1904,0.902192831
1903,0.8984239697
1902,0.8966826797
1901,0.8990420699
1900,0.8994859457
1899,0.9018648267
1898,0.8929247856
1897,0.9025380015
1896,0.8935729265
1895,0.9049195647
1894,0.8983740807
1893,0.8936554193
1892,0.8958993554
1891,0.8967747688
1890,0.8995653987
1889,0.8947060704
1888,0.9018350244
1887,0.9019759297
1886,0.8970548511
1885,0.8993534446
1884,0.8998001218
1883,0.8935641646
1882,0.9010854959
1881,0.8977070451
1880,0.9003670812
1879,0.9101284742
1878,0.8963835239
1877,0.9035434723
1876,0.9090535641
1875,0.8990432024
1874,0.9064997435
1873,0.9026761055
1872,0.9203439355
1871,0.913479805
1870,0.8988947868
1869,0.893434763
1868,0.9100500345
1867,0.9062525034
1866,0.8982512951
1865,0.9041039348
1864,0.8990495205
1863,0.8961101174
1862,0.8961977363
1861,0.8957650661
1860,0.8969931006
1859,0.9010437131
1858,0.912283659
1857,0.8953082561
1856,0.8918507099
1855,0.9048965573
1854,0.8989842534
1853,0.9068982005
1852,0.907884419
1851,0.8966043591
1850,0.8969657421
1849,0.9043015242
1848,0.9031075239
1847,0.8979497552
1846,0.9038008451
1845,0.8968283534
1844,0.9116888046
1843,0.8972868323
1842,0.9153915644
1841,0.9129426479
1840,0.9012119174
1839,0.907269299
1838,0.905221045
1837,0.9015085101
1836,0.9149067998
1835,0.9065057039
1834,0.9063981771
1833,0.9049183726
1832,0.899089396
1831,0.8994556069
1830,0.8948500156
1829,0.9057025313
1828,0.8985661864
1827,0.9071674943
1826,0.9000785351
1825,0.9057123065
1824,0.9012583494
1823,0.9078507423
1822,0.9076593518
1821,0.9051351547
1820,0.9062334895
1819,0.9004610777
1818,0.899720192
1817,0.9065881371
1816,0.9072220922
1815,0.9035287499
1814,0.8949741721
1813,0.9036440253
1812,0.9143548012
1811,0.8987125158
1810,0.8873112202
1809,0.9061139226
1808,0.9089428782
1807,0.9066245556
1806,0.8970689178
1805,0.9223969579
1804,0.9015795588
1803,0.901073575
1802,0.8986878395
1801,0.902445972
1800,0.9090123773
1799,0.8989648819
1798,0.9079782963
1797,0.8979235888
1796,0.8983523846
1795,0.9070595503
1794,0.907140255
1793,0.9005235434
1792,0.8984236717
1791,0.9034273028
1790,0.9060521722
1789,0.9141668677
1788,0.9038447142
1787,0.9120707512
1786,0.9056529999
1785,0.9010403156
1784,0.9184657335
1783,0.9057902694
1782,0.9007034898
1781,0.9012382627
1780,0.9022626281
1779,0.8981124759
