Gray value,Temperature [K],Temperature error [K]
0,763.8587122067826,2.3077302483588595
1,1867.6098604305,5.6423258623277945
2,2002.9177802195115,6.051111118487951
3,2090.3002155875856,6.31510639150328
4,2156.382818964866,6.514751718927088
5,2210.2770894021182,6.677574288223922
6,2256.033057100406,6.815809840182496
7,2296.068387481371,6.936762499943718
8,2331.7854411600756,7.0446690065259086
9,2364.0857535119644,7.142253031758201
10,2393.669262926352,7.231629193130973
11,2421.017065768967,7.314250953984794
12,2446.4330389468782,7.39103637144072
13,2470.2776992341524,7.4630746200427565
14,2492.676364303714,7.530744303032368
15,2513.8706916568576,7.594775503495038
16,2533.9924313309534,7.655566257797442
17,2553.15888533983,7.713470952688308
18,2571.474558915756,7.768805313944882
19,2589.0093378544802,7.821780476901753
20,2605.819421496825,7.872566228087084
21,2622.0174182657074,7.921502774216639
22,2637.6177628568653,7.968633724643097
23,2652.679977610346,8.01413890516721
24,2667.2466470070144,8.05814696980971
25,2681.36226718386,8.100792347987491
26,2695.026748752148,8.142074769643951
27,2708.3194403253783,8.182233958686943
28,2721.2311473195778,8.221242136917153
29,2733.77738578613,8.259146180622748
30,2746.009594094059,8.296101492731296
31,2757.9424203513345,8.33215232734542
32,2769.5898042058393,8.367340798204953
33,2780.9453612889256,8.401647617187086
34,2792.0386146135543,8.435161977684453
35,2802.88964182964,8.467944537249668
36,2813.5095519345623,8.500028857808346
37,2823.9089280649546,8.531446912582945
38,2834.0978538355967,8.562229165666455
39,2844.0859382664357,8.592404647330621
40,2853.8823393787784,8.62200102531353
41,2863.4957865367446,8.651044672316448
42,2872.934601605416,8.679560729925727
43,2882.206718992769,8.707573169162444
44,2891.319704638429,8.735104847850238
45,2900.280774008472,8.762177564980277
46,2909.0797457611657,8.788760561211982
47,2917.732630019671,8.814902205497495
48,2926.2512004868827,8.8406380679362
49,2934.64159082958,8.865986679243443
50,2942.9096520281932,8.890965716097261
51,2951.0609659810993,8.915592042238972
52,2959.0844706247613,8.939832237537043
53,2966.980743976223,8.963688048266535
54,2974.7742320668867,8.98723332950721
55,2982.469676745768,9.010482407086913
56,2990.0716024018525,9.03344894985454
57,2997.5415307298194,9.056016709153534
58,3004.924222579645,9.078320914137901
59,3012.2249786906355,9.100377579125787
60,3019.437989041141,9.122169151181694
61,3026.536814855813,9.1436157548514
62,3033.5641688953315,9.16484643170795
63,3040.523459196366,9.18587147793464
64,3047.3737712070606,9.206567284613476
65,3054.153046008549,9.227048477367218
66,3060.873320714433,9.247351422097985
67,3067.495937340922,9.267359327313963
68,3074.050232796374,9.28716082415823
69,3080.553713518373,9.30680880217031
70,3086.9591663916162,9.326160623539627
71,3093.3095598916375,9.345346102391654
