Gray value,Temperature [K],Temperature error [K]
0,763.8587122067826,2.3077302483588595
1,1640.3369763172775,4.9557008347954
2,1747.5099531012447,5.279486263145754
3,1816.0492610086942,5.486553658636538
4,1867.6098604305,5.6423258623277945
5,1909.4101341648052,5.768610677235061
6,1944.7291567170648,5.875314672861223
7,1975.5312585760287,5.968372382404921
8,2002.9177802195118,6.051111118487951
9,2027.6291486820728,6.1257678207917605
10,2050.215337933074,6.194004042093879
11,2070.9883607730694,6.256762419253986
12,2090.3002155875856,6.31510639150328
13,2108.3158660873555,6.369534338632494
14,2125.23971080823,6.420663778876828
15,2141.253812213557,6.469044749889901
16,2156.382818964866,6.514751718927088
17,2170.8123679621485,6.558345522544255
18,2184.5186130832903,6.599754118076405
19,2197.663828704543,6.639467760436686
20,2210.2770894021182,6.677574288223922
21,2222.344597768244,6.714032017426719
22,2233.973681006047,6.74916519941404
23,2245.193956454922,6.783063312552635
24,2256.033057100406,6.815809840182496
25,2266.5167699289505,6.847482688607101
26,2276.6691640797817,6.878154574259159
27,2286.5127095923194,6.907893382454137
28,2296.068387481371,6.936762499943718
29,2305.355791811878,6.964821123298726
30,2314.393224389839,6.992124544984407
31,2323.197782635646,7.01872441883881
32,2331.7854411600756,7.0446690065259086
33,2340.1711275210855,7.070003406408113
34,2348.3209911689264,7.094625350963524
35,2356.2866293844363,7.11869072321582
36,2364.0857535119644,7.142253031758201
37,2371.7301857915545,7.165347993327959
38,2379.2090047013644,7.187942612390829
39,2386.5020850488636,7.209976087760917
40,2393.669262926352,7.231629193130973
41,2400.719869295625,7.2529301187179
42,2407.5975146680285,7.273708503528787
43,2414.353888857623,7.294120510143877
44,2421.017065768967,7.314250953984794
45,2427.5284801039984,7.333922900616309
46,2433.932182833158,7.3532694345412635
47,2440.262849442788,7.3723953155371245
48,2446.4330389468782,7.39103637144072
49,2452.5349329971204,7.409471096668038
50,2458.5432481592366,7.427623106221258
51,2464.4331093207775,7.445417248703255
52,2470.277699234153,7.463074620042757
53,2475.9785675318276,7.480297787105219
54,2481.636422446441,7.497391004369912
55,2487.19128121665,7.514173055035197
56,2492.676364303714,7.530744303032368
57,2498.0900816655017,7.5470999446087665
58,2503.4154763524652,7.563188750309562
59,2508.692726412787,7.579132103966124
60,2513.8706916568576,7.594775503495038
61,2519.0159634029246,7.61032013112666
62,2524.05798534543,7.625552825817009
63,2529.075591079356,7.640711755526755
64,2533.9924313309534,7.655566257797442
65,2538.8865146727303,7.670352008074714
66,2543.688255461188,7.684858777828363
