#DataThief C:\Users\erick\OneDrive\Documents\ucsd\Postdoc\research\thermal camera\BFS-U3-16S2M_QE.png Wednesday 22-Feb-2023 12:12:16 PM
Wavelength (nm),Quantum efficiency (%)
300.00, 2.057
301.154, 2.253
301.539, 2.383
301.924, 2.383
302.309, 2.383
302.693, 2.514
303.078, 2.775
303.463, 2.841
303.847, 2.906
304.232, 3.102
304.617, 3.102
305.002, 3.232
305.387, 3.363
305.771, 3.428
306.156, 3.624
306.541, 3.755
306.926, 3.819
307.31, 3.951
307.694, 3.951
308.08, 4.081
308.465, 4.212
308.849, 4.277
309.234, 4.472
309.619, 4.604
310.004, 4.669
310.388, 4.93
310.773, 4.996
311.158, 5.061
311.543, 5.518
311.927, 5.583
312.312, 5.714
312.697, 5.843
313.082, 5.91
313.466, 6.236
313.851, 6.367
314.236, 6.432
314.621, 6.759
315.005, 6.823
315.39, 7.085
315.775, 7.281
316.16, 7.346
316.544, 7.673
316.929, 7.804
317.314, 7.869
317.698, 8.13
318.083, 8.195
318.468, 8.326
318.853, 8.522
319.238, 8.587
319.621, 9.044
320.007, 9.175
320.392, 9.24
320.777, 9.371
321.161, 9.436
321.546, 9.632
321.931, 9.827
322.316, 9.893
322.7, 10.024
323.085, 10.154
323.47, 10.35
323.855, 10.742
324.24, 10.807
324.624, 10.938
325.009, 11.134
325.394, 11.199
325.779, 11.526
326.163, 11.656
326.548, 11.722
326.933, 12.113
327.318, 12.244
327.702, 12.309
328.087, 12.505
328.472, 12.571
328.857, 12.897
329.241, 12.897
329.626, 12.962
330.011, 13.354
330.396, 13.484
330.78, 13.55
331.165, 13.746
331.55, 13.811
331.935, 13.942
332.319, 14.072
332.704, 14.138
333.089, 14.399
333.474, 14.464
333.858, 14.53
334.242, 14.791
334.628, 14.855
335.013, 14.987
335.397, 15.183
335.782, 15.248
336.167, 15.444
336.552, 15.509
336.936, 15.573
337.321, 15.835
337.706, 15.901
338.091, 16.162
338.475, 16.227
338.859, 16.293
339.245, 16.554
339.63, 16.685
340.014, 16.75
340.399, 17.076
340.784, 17.142
341.169, 17.468
341.553, 17.729
341.938, 17.795
342.323, 18.186
342.708, 18.317
343.092, 18.382
343.476, 18.839
343.862, 18.905
344.246, 19.101
344.631, 19.362
345.016, 19.427
345.401, 19.884
345.786, 19.884
346.17, 19.95
346.555, 20.537
346.94, 20.603
347.325, 20.733
347.71, 21.125
348.094, 21.19
348.479, 21.517
348.863, 21.647
349.249, 21.713
349.633, 22.17
350.018, 22.3
350.403, 22.366
350.788, 22.496
351.172, 22.627
351.557, 22.823
351.942, 22.952
352.327, 23.019
352.71, 23.149
353.096, 23.215
353.48, 23.28
353.866, 23.541
354.25, 23.607
354.635, 23.867
355.02, 23.998
355.405, 24.064
355.789, 24.194
356.174, 24.26
356.559, 24.325
356.944, 24.585
357.328, 24.651
357.713, 24.782
358.098, 24.978
358.483, 25.043
358.867, 25.304
359.252, 25.37
359.637, 25.5
360.022, 25.631
360.406, 25.696
360.791, 25.892
361.176, 26.023
361.561, 26.088
361.944, 26.48
362.33, 26.609
362.714, 26.676
363.1, 26.871
363.484, 26.937
363.869, 27.068
364.254, 27.198
364.639, 27.263
365.023, 27.525
365.408, 27.589
365.793, 27.655
366.178, 28.047
366.562, 28.112
366.947, 28.242
367.332, 28.439
367.717, 28.504
368.101, 28.831
368.486, 28.896
368.871, 29.027
369.256, 29.157
369.64, 29.223
370.025, 29.418
370.41, 29.876
370.795, 29.94
371.18, 30.659
371.564, 30.79
371.948, 30.855
372.334, 31.639
372.718, 31.704
373.103, 31.9
373.488, 32.488
373.873, 32.553
374.258, 33.271
374.642, 33.402
375.027, 33.467
375.412, 34.251
375.797, 34.316
376.181, 34.512
376.565, 35.1
376.951, 35.165
377.336, 35.883
377.72, 36.014
378.105, 36.079
378.49, 36.928
378.875, 37.059
379.259, 37.124
379.644, 37.777
380.029, 38.038
380.414, 38.169
380.798, 38.299
381.183, 38.365
381.568, 39.018
381.952, 39.213
382.337, 39.343
382.722, 39.605
383.107, 39.671
383.492, 40.062
383.876, 40.193
384.261, 40.258
384.646, 40.781
385.031, 40.976
385.415, 41.107
385.8, 41.367
386.185, 41.434
386.569, 41.694
386.954, 41.956
387.339, 42.021
387.724, 42.478
388.109, 42.478
388.492, 42.544
388.878, 43.131
389.263, 43.197
389.648, 43.393
390.032, 43.718
390.417, 43.784
390.802, 44.307
391.187, 44.437
391.571, 44.568
391.956, 44.764
392.341, 44.829
392.726, 44.96
393.11, 45.286
393.495, 45.351
393.88, 45.874
394.265, 46.07
394.65, 46.201
395.034, 46.331
395.419, 46.397
395.804, 46.527
396.189, 46.854
396.573, 46.919
396.958, 47.376
397.343, 47.376
397.728, 47.441
398.112, 47.898
398.496, 48.029
398.882, 48.16
399.267, 48.551
399.651, 48.617
400.036, 48.813
400.421, 48.943
400.806, 49.009
401.19, 49.27
401.575, 49.335
401.96, 49.466
402.345, 49.596
402.729, 49.662
403.114, 49.792
403.499, 49.858
403.884, 49.923
404.268, 50.119
404.653, 50.184
405.038, 50.249
405.423, 50.445
405.807, 50.511
406.192, 50.706
406.577, 50.837
406.962, 50.902
407.346, 51.229
407.73, 51.294
408.116, 51.425
408.501, 51.555
408.885, 51.621
409.27, 51.751
409.655, 51.882
410.04, 51.947
410.424, 52.078
410.809, 52.078
411.194, 52.143
411.579, 52.208
411.963, 52.274
412.347, 52.404
412.733, 52.404
413.117, 52.47
413.502, 52.535
413.887, 52.6
414.272, 52.666
414.657, 52.796
415.041, 52.796
415.426, 52.861
415.811, 52.927
416.196, 52.992
416.58, 53.188
416.964, 53.253
417.35, 53.319
417.734, 53.384
418.12, 53.449
418.504, 53.515
418.889, 53.58
419.274, 53.645
419.659, 53.776
420.043, 53.841
420.428, 53.906
420.813, 54.102
421.198, 54.168
421.581, 54.233
421.967, 54.429
422.351, 54.494
422.737, 54.69
423.121, 54.755
423.506, 54.886
423.891, 55.017
424.276, 55.082
424.66, 55.212
425.045, 55.278
425.43, 55.343
425.815, 55.604
426.199, 55.67
426.584, 55.8
426.968, 55.8
427.354, 55.865
427.738, 55.931
428.123, 56.061
428.508, 56.127
428.893, 56.323
429.277, 56.388
429.662, 56.453
430.047, 56.78
430.432, 56.845
430.815, 56.976
431.201, 57.106
431.585, 57.172
431.971, 57.367
432.355, 57.367
432.74, 57.433
433.125, 57.694
433.51, 57.825
433.894, 57.89
434.279, 58.02
434.664, 58.086
435.049, 58.282
435.433, 58.412
435.818, 58.478
436.203, 58.738
436.588, 58.804
436.972, 58.935
437.357, 59.065
437.742, 59.131
438.127, 59.261
438.511, 59.457
438.896, 59.522
439.281, 59.784
439.666, 59.849
440.05, 59.98
440.435, 59.98
440.819, 59.98
441.205, 60.11
441.589, 60.175
441.974, 60.241
442.359, 60.437
442.744, 60.437
443.129, 60.502
443.513, 60.633
443.898, 60.633
444.283, 60.698
444.668, 60.763
445.052, 60.829
445.437, 60.959
445.822, 61.024
446.207, 61.09
446.591, 61.22
446.976, 61.22
447.361, 61.351
447.746, 61.416
448.13, 61.416
448.515, 61.612
448.9, 61.677
449.285, 61.742
449.669, 61.808
450.054, 61.873
450.439, 61.939
450.823, 62.004
451.208, 62.069
451.593, 62.135
451.978, 62.2
452.363, 62.265
452.746, 62.331
453.132, 62.396
453.517, 62.461
453.902, 62.526
454.286, 62.592
454.671, 62.657
455.056, 62.722
455.441, 62.788
455.825, 62.853
456.21, 62.918
456.595, 62.984
456.98, 63.049
457.363, 63.049
457.749, 63.114
458.134, 63.18
458.519, 63.245
458.903, 63.31
459.288, 63.375
459.673, 63.441
460.058, 63.571
460.442, 63.637
460.827, 63.702
461.212, 63.767
461.597, 63.833
461.98, 63.898
462.366, 63.963
462.751, 64.029
463.136, 64.094
463.521, 64.159
463.905, 64.355
464.29, 64.355
464.675, 64.355
465.06, 64.551
465.444, 64.616
465.829, 64.682
466.214, 64.812
466.599, 64.812
466.983, 64.877
467.367, 64.943
467.753, 65.008
468.138, 65.139
468.522, 65.204
468.907, 65.269
469.292, 65.335
469.677, 65.4
470.061, 65.4
470.446, 65.4
470.831, 65.4
471.216, 65.465
471.6, 65.465
471.984, 65.531
472.37, 65.596
472.755, 65.596
473.139, 65.596
473.524, 65.596
473.909, 65.596
474.294, 65.596
474.678, 65.596
475.063, 65.596
475.448, 65.596
475.833, 65.596
476.217, 65.596
476.601, 65.661
476.987, 65.726
477.371, 65.726
477.756, 65.792
478.141, 65.792
478.526, 65.792
478.911, 65.792
479.295, 65.792
