Test,Particle ID,Start frame,Start x (px),Start y (px),Analysis file
LCT_R4N137_ROW513_100PCT_2024-01-24_1,1,1,278,474,P1_278_474_N1.csv
LCT_R4N137_ROW513_100PCT_2024-01-24_1,2,1,294,454,P2_294_454_N1.csv
LCT_R4N137_ROW513_100PCT_2024-01-24_1,3,1,293,484,P3_293_484_N1.csv
LCT_R4N137_ROW513_100PCT_2024-01-24_1,4,1,300,478,P4_300_478_N1.csv
LCT_R4N137_ROW513_100PCT_2024-01-24_1,5,1,267,447,P5_267_447_N1.csv
LCT_R4N137_ROW513_100PCT_2024-01-24_1,6,1,278,445,P6_278_445_N1.csv
LCT_R4N137_ROW513_100PCT_2024-01-24_1,7,1,255,440,P7_255_440_N1.csv
LCT_R4N137_ROW513_100PCT_2024-01-24_1,8,1,309,443,P8_309_443_N1.csv
LCT_R4N137_ROW513_100PCT_2024-01-24_1,9,1,288,531,P9_288_531_N1.csv
LCT_R4N137_ROW513_100PCT_2024-01-24_1,10,1,288,492,P10_288_492_N1.csv
LCT_R4N137_ROW513_100PCT_2024-01-24_1,0,1,0,0,matrix.csv
