# Sample diameter: 1.015 cm
# Beam diameter: 0.8165 cm
# Heat load: 38 MW/m^2
# Sample ID: R4N137
# Laser test: ROW513
FID,Area,Mean,StdDev,X,Y,Time (s),Viewport coating (nm),Corrected mean,Temperature (K),Temperature lpb (K),Temperature upb (K)
1,156,0.0,0.0,278,445,0.0,0.0,0.0,764.0,764.0,764.0
2,156,0.09,0.287,278,445,0.005,0.246,0.09,764.0,764.0,764.0
3,156,0.833,0.566,278,445,0.01001,0.492,0.838,764.0,764.0,764.0
4,156,2.167,1.028,278,445,0.01501,0.738,2.188,2050.0,2050.0,2050.0
5,156,1.821,0.905,278,445,0.02001,0.984,1.845,1909.0,1909.0,1909.0
6,156,4.782,1.635,278,445,0.02502,1.23,4.86,2210.0,2210.0,2267.0
7,156,8.744,3.035,273,449,0.03002,1.476,8.916,2394.0,2394.0,2428.0
8,156,13.244,3.397,271,456,0.03502,1.721,13.549,2539.0,2514.0,2562.0
9,156,18.981,4.052,270,459,0.04003,1.968,19.481,2664.0,2645.0,2681.0
10,156,24.013,5.189,267,460,0.04503,2.213,24.726,2746.0,2731.0,2761.0
11,156,33.827,8.125,266,461,0.05003,2.459,34.944,2878.0,2866.0,2900.0
12,156,44.564,9.53,266,462,0.05504,2.705,46.186,3001.0,2982.0,3010.0
13,156,55.096,11.893,266,462,0.06004,2.951,57.287,3095.0,3079.0,3110.0
14,156,64.859,12.73,267,462,0.06504,3.197,67.658,3169.0,3155.0,3183.0
15,156,72.276,11.332,268,461,0.07005,3.443,75.641,3223.0,3210.0,3235.0
16,156,77.577,11.355,266,459,0.07505,3.689,81.453,3260.0,3248.0,3272.0
17,156,81.513,9.875,264,455,0.08005,3.935,85.865,3284.0,3278.0,3296.0
18,156,83.391,8.057,262,446,0.08506,4.181,88.129,3302.0,3290.0,3307.0
19,156,78.936,8.238,260,433,0.09006,4.427,83.692,3272.0,3266.0,3284.0
20,156,81.942,8.901,267,429,0.09506,4.673,87.162,3296.0,3284.0,3302.0
21,156,82.942,7.206,274,420,0.10007,4.919,88.514,3302.0,3296.0,3307.0
22,156,80.776,5.358,276,417,0.10507,5.165,86.483,3290.0,3284.0,3296.0
23,156,81.5,6.087,276,417,0.11007,5.41,87.541,3296.0,3290.0,3302.0
24,156,81.686,5.314,277,415,0.11508,5.657,88.028,3302.0,3296.0,3302.0
25,156,82.372,4.547,278,414,0.12008,5.903,89.056,3307.0,3302.0,3307.0
26,156,77.423,5.791,268,404,0.12508,6.148,83.977,3272.0,3266.0,3278.0
27,156,52.981,4.098,253,360,0.13009,6.395,57.654,3095.0,3087.0,3103.0
28,156,41.635,4.0,242,298,0.13509,6.64,45.454,2992.0,2982.0,3001.0
29,156,32.308,4.35,241,221,0.14009,6.886,35.386,2889.0,2878.0,2900.0
30,156,26.551,1.452,251,151,0.1451,7.132,29.176,2816.0,2803.0,2816.0
31,156,22.596,3.003,264,80,0.1501,7.378,24.91,2746.0,2746.0,2761.0
32,156,15.846,1.857,279,23,0.1551,7.624,17.526,2626.0,2626.0,2626.0
