# Sample diameter: 1.015 cm
# Beam diameter: 0.8165 cm
# Heat load: 38 MW/m^2
# Sample ID: R4N137
# Laser test: ROW513
FID,Area,Mean,StdDev,X,Y,Time (s),Viewport coating (nm),Corrected mean,Temperature (K),Temperature lpb (K),Temperature upb (K)
1,49,0.0,0.0,249.643,485.439,0.0,0.0,0.0,764.0,764.0,764.0
2,49,0.122,0.331,249.643,485.439,0.005,0.246,0.122,764.0,764.0,764.0
3,49,0.959,0.406,249.643,485.439,0.01001,0.492,0.965,764.0,764.0,1909.0
4,49,1.878,0.6,255.643,483.439,0.01501,0.738,1.896,1909.0,1909.0,2050.0
5,81,5.012,2.077,248.475,487.537,0.02001,0.984,5.078,2267.0,2210.0,2267.0
6,303,5.314,1.846,260.19,482.573,0.02502,1.23,5.401,2267.0,2267.0,2267.0
7,871,6.665,3.073,265.777,487.371,0.03002,1.476,6.796,2314.0,2314.0,2356.0
8,871,9.866,5.608,258.777,492.371,0.03502,1.721,10.093,2459.0,2428.0,2459.0
9,1124,9.086,3.991,257.297,478.106,0.04003,1.968,9.325,2428.0,2428.0,2428.0
10,1461,11.413,5.387,277.125,480.757,0.04503,2.213,11.752,2487.0,2487.0,2514.0
11,1495,14.734,6.657,272.246,478.913,0.05003,2.459,15.221,2585.0,2562.0,2585.0
12,2028,17.813,7.905,265.321,477.181,0.05504,2.705,18.461,2645.0,2645.0,2645.0
13,2028,22.032,9.587,265.321,477.181,0.06004,2.951,22.908,2715.0,2715.0,2731.0
14,2051,25.186,11.56,265.873,477.339,0.06504,3.197,26.273,2775.0,2761.0,2775.0
15,2051,30.574,13.854,265.873,477.339,0.07005,3.443,31.997,2842.0,2842.0,2854.0
16,1703,26.167,12.193,272.848,479.364,0.07505,3.689,27.474,2789.0,2775.0,2803.0
17,2021,24.804,13.87,275.402,475.956,0.08005,3.935,26.128,2775.0,2761.0,2775.0
18,1911,26.746,14.776,269.168,470.316,0.08506,4.181,28.266,2803.0,2789.0,2803.0
19,1630,28.675,13.354,270.01,462.729,0.09006,4.427,30.403,2829.0,2816.0,2842.0
20,1678,31.75,14.134,273.836,455.119,0.09506,4.673,33.773,2866.0,2866.0,2878.0
21,1678,34.337,15.796,280.836,447.119,0.10007,4.919,36.644,2900.0,2889.0,2911.0
22,1796,36.112,16.173,271.663,450.081,0.10507,5.165,38.663,2922.0,2911.0,2933.0
23,2249,33.088,20.747,281.335,444.113,0.11007,5.41,35.541,2889.0,2878.0,2900.0
24,3021,26.033,19.199,281.208,450.609,0.11508,5.657,28.054,2803.0,2789.0,2803.0
25,3021,28.384,20.548,281.208,449.609,0.12008,5.903,30.687,2829.0,2816.0,2842.0
26,4462,22.489,18.343,278.79,456.154,0.12508,6.148,24.393,2746.0,2731.0,2746.0
27,5578,18.259,19.984,275.474,440.931,0.13009,6.395,19.869,2664.0,2664.0,2681.0
28,5578,18.837,20.854,275.474,440.931,0.13509,6.64,20.565,2681.0,2664.0,2698.0
29,5578,19.989,21.707,275.474,440.931,0.14009,6.886,21.894,2698.0,2698.0,2715.0
30,5578,21.237,22.477,275.474,440.931,0.1451,7.132,23.336,2731.0,2715.0,2731.0
31,5578,22.361,23.485,275.474,439.931,0.1501,7.378,24.651,2746.0,2731.0,2761.0
32,5578,23.48,24.103,275.474,439.931,0.1551,7.624,25.969,2761.0,2761.0,2775.0
33,3633,29.789,25.084,270.8,449.021,0.16011,7.87,33.054,2866.0,2854.0,2866.0
34,3969,27.496,23.083,270.771,455.353,0.16511,8.116,30.609,2829.0,2816.0,2842.0
35,4378,27.053,23.951,268.659,452.188,0.17012,8.362,30.214,2829.0,2816.0,2842.0
36,4491,23.278,20.523,268.898,457.36,0.17512,8.608,26.083,2775.0,2761.0,2775.0
37,6676,18.505,19.531,282.926,444.103,0.18012,8.854,20.802,2681.0,2681.0,2698.0
38,7007,17.439,17.337,291.711,454.404,0.18512,9.1,19.668,2664.0,2664.0,2681.0
39,6414,17.455,18.122,286.011,455.705,0.19013,9.346,19.75,2664.0,2664.0,2681.0
40,5106,25.022,18.548,269.839,468.416,0.19513,9.592,28.404,2803.0,2789.0,2803.0
