Deformation (mm),Measured force (N),Force err (N),Force 4cm (N),Force 4cm err (N),f_b (KPa),f_b err (KPa)
0.0,0.0,0.5,0.0,0.2774349589088519,0.0,50.00000314498841
0.1,0.0,0.5,0.0,0.2774349589088519,0.0,50.00000314498841
0.2,0.0,0.5,0.0,0.2774349589088519,0.0,50.00000314498841
0.3,0.0,0.5,0.0,0.2774349589088519,0.0,50.00000314498841
0.4,0.0,0.5,0.0,0.2774349589088519,0.0,50.00000314498841
0.5,0.0,0.5,0.0,0.2774349589088519,0.0,50.00000314498841
0.6,0.0,0.5,0.0,0.2774349589088519,0.0,50.00000314498841
0.7,0.0,0.5,0.0,0.2774349589088519,0.0,50.00000314498841
0.8,0.0,0.5,0.0,0.2774349589088519,0.0,50.00000314498841
0.9,0.0,0.5,0.0,0.2774349589088519,0.0,50.00000314498841
1.0,0.0,0.5,0.0,0.2774349589088519,0.0,50.00000314498841
1.1,0.0,0.5,0.0,0.2774349589088519,0.0,50.00000314498841
1.2,0.0,0.5,0.0,0.2774349589088519,0.0,50.00000314498841
1.3,0.0,0.5,0.0,0.2774349589088519,0.0,50.00000314498841
1.4,0.0,0.5,0.0,0.2774349589088519,0.0,50.00000314498841
1.5,0.0,0.5,0.0,0.2774349589088519,0.0,50.00000314498841
1.6,0.0,0.5,0.0,0.2774349589088519,0.0,50.00000314498841
1.7,0.0,0.5,0.0,0.2774349589088519,0.0,50.00000314498841
1.8,0.1,0.5,0.055486991781770384,0.2774349589088519,7.30572368239993,5.000031449786192
1.9,0.3,0.5,0.16646097534531112,0.2774349589088519,21.917171047199787,1.6667610136515625
2.0,0.6,0.5,0.33292195069062225,0.2774349589088519,43.834342094399574,0.8335220112843156
2.1,0.7000000000000001,0.5,0.38840894247239266,0.2774349589088519,51.14006577679952,0.7145058295659029
2.2,1.8,0.5,0.9987658520718669,0.2774349589088519,131.50302628319875,0.2783433000418128
2.3,2.5,0.5,1.3871747945442594,0.2774349589088519,182.64309205999822,0.200784707712032
