#Procedure: <__main__.LaserProcedure>
#Parameters:
#	Emission time: 0.5 s
#	Laser power setpoint: 80 %
#	Measurement time: 5 s
#	Photodiode Gain: 40"
#	Sample Name: R4N23_Graphite_granules_row188
#Data:
Measurement Time (s),Photodiode Voltage (V),Trigger (V),TC1 (C),TC2 (C),Pressure (Torr),Laser output power (W),Laser output peak power (W)
0,0,0,23.5,23.5,0.0023,0,0
0.0032,0,0,23.5,23.5,0.0023,0,0
0.0064,0,0.04,23.5,23.5,0.0023,0,0
0.0096,0,0.04,23.5,23.5,0.0023,0,0
0.0128,0,0.04,23.5,23.5,0.0023,0,0
0.016,0,0,23.5,23.5,0.0023,0,0
0.0192,0,0.04,23.5,23.5,0.002309926,0,0
0.0224,0,0.04,23.5,23.5,0.002322392,0,0
0.0256,0,0.04,23.5,23.5,0.002334859,0,0
0.0288,0,0,23.5,23.5,0.002347325,0,0
0.032,0,0.04,23.5,23.42406409,0.002359792,0,0
0.0352,0,0.04,23.5,23.16647044,0.002372258,0,0
0.0384,0,0,23.5,23,0.002384724,0,0
0.0416,0,0.04,23.5,23,0.002397191,0,0
0.0448,0,0.04,23.5,23,0.0024,0,0
0.048,0,0,23.5,23,0.0024,0,0
0.0512,0,0,23.5,23,0.0024,0,0
0.0544,0,0,23.5,23,0.0024,0,0
0.0576,0,0.04,23.5,23,0.002390469,0,0
0.0608,0,0,23.5,23,0.002373761,0,0
0.064,0,0.04,23.5,23,0.002357054,0,0
0.0672,-0.04,0.04,23.5,23,0.002340346,0,0
0.0704,0,0,23.5,23,0.002323639,0,0
0.0736,0,0.04,23.5,23,0.002306931,0,0
0.0768,0,0.04,23.5,23,0.002309576,0,0
0.08,0,0,23.5,23,0.00232594,0,0
0.0832,0,0.04,23.5,23,0.002342305,0,0
0.0864,0,0,23.5,23,0.002358669,0,0
0.0896,0,0.04,23.5,23,0.002375033,0,0
0.0928,0,0.04,23.5,23,0.002391398,0,0
0.096,0,0,23.5,23,0.0024,0,0
0.0992,0,0.04,23.5,23,0.0024,0,0
0.1024,0,0,23.5,23,0.0024,0,0
0.1056,0,0,23.5,23,0.0024,0,0
0.1088,0,0,23.5,23,0.0024,0,0
0.112,0,0.04,23.5,23,0.0024,0,0
0.1152,0,0,23.5,23,0.0024,0,0
0.1184,0,0.04,23.5,23,0.0024,0,0
0.1216,0,0.04,23.5,23,0.0024,0,0
0.1248,-0.04,0,23.5,23.04615001,0.0024,0,0
0.128,0,0,23.5,23.30374386,0.0024,0,0
0.1312,0,0.04,23.5,23.5,0.0024,0,0
0.1344,0,0.04,23.5,23.5,0.0024,0,0
0.1376,0,0.04,23.5,23.5,0.0024,0,0
0.1408,0,0.04,23.5,23.5,0.0024,0,0
0.144,0,0.04,23.5,23.5,0.0024,0,0
0.1472,0,0.04,23.5,23.5,0.0024,0,0
0.1504,0,0.04,23.5,23.5,0.0024,0,0
0.1536,0,0.04,23.5,23.5,0.0024,0,0
0.1568,0,0.04,23.5,23.5,0.0024,0,0
0.16,0,0,23.5,23.5,0.0024,0,0
0.1632,0,0,23.5,23.5,0.0024,0,0
0.1664,0,0,23.5,23.5,0.0024,0,0
0.1696,0,0,23.5,23.5,0.0024,0,0
0.1728,0,0.04,23.5,23.5,0.0024,0,0
0.176,0,0.04,23.5,23.5,0.0024,0,0
0.1792,0,0.04,23.5,23.5,0.0024,0,0
0.1824,0,0.04,23.5,23.5,0.0024,0,0
0.1856,0,0.04,23.5,23.5,0.0024,0,0
0.1888,0,0,23.5,23.5,0.0024,0,0
0.192,0,0,23.5,23.5,0.0024,0,0
0.1952,0,0.04,23.5,23.5,0.0024,0,0
0.1984,0,0.04,23.5,23.5,0.0024,0,0
0.2016,0,0.04,23.5,23.5,0.0024,0,0
0.2048,0,0.04,23.5,23.5,0.0024,0,0
0.208,0,0.04,23.5,23.5,0.0024,0,0
0.2112,0,0,23.5,23.5,0.0024,0,0
0.2144,0,0.04,23.5,23.5,0.0024,0,0
0.2176,0,0.04,23.5,23.5,0.0024,0,0
0.2208,0,0,23.5,23.5,0.0024,0,0
0.224,0,0.04,23.5,23.5,0.0024,0,0
0.2272,0,0.04,23.5,23.5,0.0024,0,0
0.2304,0,0.04,23.5,23.5,0.0024,0,0
0.2336,0,0,23.5,23.5,0.002404834,0,0
0.2368,0,0,23.5,23.5,0.002420144,0,0
0.24,0,0,23.5,23.5,0.002435455,0,0
0.2432,0,0,23.5,23.5,0.002450765,0,0
0.2464,0,0.04,23.5,23.5,0.002466076,0,0
0.2496,0,0.04,23.5,23.5,0.002481387,0,0
0.2528,0,0,23.5,23.5,0.002496697,0,0
0.256,-0.04,0.04,23.5,23.5,0.002487258,0,0
0.2592,0,0,23.5,23.5,0.002471011,0,0
0.2624,0,0.04,23.5,23.5,0.002454764,0,0
0.2656,0,0.04,23.5,23.5,0.002438518,0,0
0.2688,0,0.04,23.5,23.5,0.002422271,0,0
0.272,-0.04,0.04,23.5,23.5,0.002406024,0,0
0.2752,0,0.04,23.5,23.5,0.0024,0,0
0.2784,0,0.04,23.5,23.5,0.0024,0,0
0.2816,-0.04,0.04,23.5,23.5,0.0024,0,0
0.2848,0,0.04,23.5,23.5,0.0024,0,0
0.288,0,0.04,23.5,23.5,0.0024,0,0
0.2912,0,0.04,23.5,23.5,0.0024,0,0
0.2944,0,0.04,23.5,23.5,0.002392468,0,0
0.2976,-0.04,0.04,23.5,23.5,0.002376665,0,0
0.3008,0,0.04,23.5,23.5,0.002360862,0,0
0.304,0,0,23.5,23.5,0.002345059,0,0
0.3072,-0.04,2.6,23.5,23.5,0.002329256,0,0
0.3104,0.04,2.6,23.5,23.5,0.002313453,0,0
0.3136,0.04,2.6,23.5,23.25582767,0.0023,0,0
0.3168,0.04,2.6,23.5,23,0.0023,0,0
0.32,0.08,2.6,23.5,23,0.0023,0,0
0.3232,0.12,2.6,23.47456925,23,0.0023,0,0
0.3264,0.16,2.6,23.08817851,23,0.0023,0,0
0.3296,0.16,2.6,22.75,23,0.0023,0,0
0.3328,0.2,2.6,22.75,23,0.002301038,0,0
0.336,0.28,2.6,22.75,23,0.002346079,0,0
0.3392,0.32,2.64,22.75,23,0.002391121,0,0
0.3424,0.4,2.6,22.75,23,0.002436162,0,0
0.3456,0.4,2.6,22.75,23,0.002481204,0,0
0.3488,0.48,2.6,22.75,23,0.002526245,0,0
0.352,0.48,2.64,22.75,23,0.002571287,0,0
0.3552,0.56,2.6,22.75,23,0.002587316,0,0
0.3584,0.6,2.64,22.75,23,0.002552325,0,0
0.3616,0.68,2.64,22.75,23,0.002517335,0,0
0.3648,0.72,2.56,22.75,23,0.002482345,0,0
0.368,0.8,2.6,22.75,23,0.002447355,0,0
0.3712,0.8,2.6,22.75,23,0.002412365,0,0
0.3744,0.88,2.6,22.75,23,0.0024,0,0
0.3776,0.92,2.6,22.75,23,0.0024,0,0
0.3808,1,2.6,22.75,23,0.0024,0,0
0.384,1.04,2.6,22.75,23,0.0024,0,0
0.3872,1.08,2.6,22.75,23,0.0024,0,0
0.3904,1.16,2.6,22.75,23,0.0024,0,0
0.3936,1.24,2.6,22.75,23,0.0024,0,0
0.3968,1.28,2.6,22.75,23,0.0024,0,0
0.4,1.36,2.6,22.75,23,0.0024,0,0
0.4032,1.36,2.6,22.75,23,0.0024,0,0
0.4064,1.36,2.6,22.75,23.10719319,0.0024,0,0
0.4096,1.44,2.6,22.75,23.23598934,0.0024,0,0
0.4128,1.44,2.6,22.75,23.25,0.0024,0,0
0.416,1.2,2.6,22.75,23.25,0.0024,0,0
0.4192,1.2,2.6,22.99476006,23.25,0.0024,0,0
0.4224,1.28,2.6,23.25,23.25,0.0024,0,0
0.4256,1.32,2.6,23.25,23.25,0.0024,0,0
0.4288,1.4,2.6,23.25,23.25,0.0024,0,0
0.432,1.44,2.6,23.25,23.25,0.0024,0,0
0.4352,1.48,2.6,23.25,23.25,0.0024,0,0
0.4384,1.56,2.6,23.25,23.25,0.0024,0,0
0.4416,1.6,2.6,23.25,23.25,0.0024,0,0
0.4448,1.64,2.6,23.25,23.25,0.0024,0,0
0.448,1.68,2.6,23.25,23.25,0.0024,0,0
0.4512,1.72,2.6,23.25,23.25,0.0024,0,0
0.4544,1.8,2.6,23.25,23.25,0.0024,0,0
0.4576,1.84,2.6,23.25,23.25,0.0024,0,0
0.4608,1.88,2.6,23.25,23.25,0.0024,0,0
0.464,1.88,2.6,23.25,23.25,0.0024,0,0
0.4672,1.96,2.6,23.25,23.25,0.0024,0,0
0.4704,2.04,2.6,23.25,23.25,0.0024,0,0
0.4736,2,2.64,23.25,23.25,0.0024,10.26133641,156.148222
0.4768,2.08,2.6,23.25,23.25,0.0024,38.53458481,586.386282
0.48,2.12,2.6,23.25,23.25,0.0024,66.80783321,1016.624342
0.4832,2.12,2.6,23.25,23.25,0.0024,95.08108161,1446.862402
0.4864,2.2,2.6,23.25,23.25,0.0024,123.35433,1877.100462
0.4896,2.12,2.6,23.25,23.25,0.0024,151.6275784,2307.338522
0.4928,1.64,2.64,23.25,23.25,0.0024,180.721212,2663
0.496,1.56,2.6,23.25,23.25,0.0024,213.727326,2663
0.4992,1.36,2.6,23.25,23.25,0.0024,246.73344,2663
0.5024,1.44,2.64,23.25,23.25,0.0024,279.7395539,2663
0.5056,1.48,2.6,23.25,23.25,0.0024,312.7456679,2663
0.5088,1.56,2.6,23.25,23.25,0.0024,345.7517819,2663
0.512,1.64,2.6,23.3574877,23.25,0.0024,378.7578958,2663
0.5152,1.72,2.6,23.48628463,23.25,0.00241117,414.1320484,2663
0.5184,1.8,2.6,23.5,23.25,0.002427365,450.5716414,2663
0.5216,1.88,2.6,23.5,23.25,0.002443561,487.0112345,2663
0.5248,1.92,2.6,23.5,23.25,0.002459756,523.4508276,2663
0.528,2,2.6,23.5,23.25,0.002475951,559.8904206,2663
0.5312,2.08,2.6,23.5,23.25,0.002492147,596.3300137,2663
0.5344,2.12,2.6,23.5,23.25,0.002482374,633.8295696,2663
0.5376,2.16,2.6,23.5,23.25,0.002448154,672.3269904,2663
0.5408,2.24,2.6,23.5,23.25,0.002413934,710.8244112,2663
0.544,2.24,2.6,23.5,23.25,0.002379714,749.3218319,2663
0.5472,2.32,2.6,23.5,23.25,0.002345494,787.8192527,2663
0.5504,2.4,2.6,23.5,23.25,0.002311274,826.3166735,2663
0.5536,2.44,2.6,23.5,23.25,0.002310255,861.8691382,2663
0.5568,2.48,2.6,23.5,23.25,0.002325549,895.9746477,2663
0.56,2.56,2.6,23.5,23.25,0.002340843,930.0801573,2663
0.5632,2.48,2.6,23.5,23.25,0.002356137,964.1856668,2663
0.5664,2.56,2.6,23.5,23.25,0.002371431,998.2911763,2663
0.5696,2.6,2.6,23.5,23.25,0.002386725,1032.396686,2663
0.5728,2.6,2.6,23.5,23.25,0.0024,1066.690888,2663
0.576,2.68,2.6,23.5,23.25,0.0024,1102.2258,2663
0.5792,2.68,2.6,23.5,23.25,0.0024,1137.760712,2663
0.5824,2.72,2.6,23.5,23.25,0.0024,1173.295624,2663
0.5856,2.72,2.64,23.5,23.31981386,0.0024,1208.830535,2663
0.5888,2.76,2.6,23.5,23.44861079,0.0024,1244.365447,2663
0.592,2.8,2.6,23.5,23.5,0.0024,1279.850292,2663
0.5952,2.8,2.6,23.5,23.5,0.0024,1314.448991,2663
0.5984,2.84,2.6,23.5,23.5,0.0024,1349.04769,2663
0.6016,2.84,2.6,23.5,23.5,0.0024,1383.646389,2663
0.6048,2.88,2.6,23.5,23.5,0.0024,1418.245089,2663
0.608,2.92,2.6,23.5,23.5,0.0024,1452.843788,2663
0.6112,2.96,2.56,23.5,23.5,0.0024,1487.442487,2663
0.6144,2.96,2.6,23.5,23.5,0.0024,1518.363772,2663
0.6176,3,2.6,23.5,23.5,0.0024,1546.915581,2663
0.6208,3,2.6,23.5,23.5,0.0024,1575.46739,2663
0.624,3,2.6,23.5,23.5,0.0024,1604.0192,2663
0.6272,3,2.6,23.5,23.5,0.0024,1632.571009,2663
0.6304,3.04,2.6,23.5,23.5,0.0024,1661.122818,2663
0.6336,3.04,2.64,23.5,23.5,0.0024,1689.674627,2663
0.6368,3.08,2.6,23.5,23.5,0.0024,1718.226436,2663
0.64,3.08,2.64,23.5,23.5,0.0024,1763.772323,2663
0.6432,3.08,2.6,23.5,23.5,0.0024,1815.676041,2663
0.6464,3.12,2.6,23.5,23.5,0.0024,1867.579759,2663
0.6496,3.08,2.6,23.5,23.5,0.0024,1919.483476,2663
0.6528,2.64,2.6,23.5,23.5,0.002429168,1960.973256,2663
0.656,2.36,2.64,23.5,23.5,0.002475913,1996.187597,2663
