#Procedure: <__main__.LaserProcedure>
#Parameters:
#	Emission time: 0.5 s
#	Laser power setpoint: 100 %
#	Measurement time: 5 s
#	Photodiode Gain: 40
#	Sample Name: R4N23_hBN_granules_row189
#Data:
Measurement Time (s),Photodiode Voltage (V),Trigger (V),TC1 (C),TC2 (C),Pressure (Torr),Laser output power (W),Laser output peak power (W)
0.0,0.0,0.04,23.25,23.25,0.0026000000000000003,0.0,0.0
0.0032,0.0,0.04,23.25,23.25,0.0026184303323507005,0.0,0.0
0.0064,0.0,0.04,23.25,23.25,0.0026368606647014007,0.0,0.0
0.009600000000000001,0.0,0.04,23.25,23.25,0.002655290997052101,0.0,0.0
0.0128,0.0,0.04,23.25,23.25,0.0026737213294028006,0.0,0.0
0.016,0.0,0.04,23.25,23.25,0.002692151661753501,0.0,0.0
0.019200000000000002,0.0,0.04,23.25,23.25,0.0027,0.0,0.0
0.0224,0.0,0.04,23.25,23.25,0.0027,0.0,0.0
0.0256,-0.04,0.04,23.25,23.25,0.0027,0.0,0.0
0.028800000000000003,0.0,0.04,23.25,23.25,0.0027,0.0,0.0
0.032,0.0,0.0,23.25,23.25,0.0027,0.0,0.0
0.0352,0.0,0.04,23.25,23.25,0.0027,0.0,0.0
0.038400000000000004,0.0,0.04,23.25,23.25,0.0027,0.0,0.0
0.041600000000000005,0.0,0.04,23.25,23.25,0.0027,0.0,0.0
0.0448,-0.04,0.04,23.25,23.25,0.0027,0.0,0.0
0.048,0.0,0.04,23.25,23.25,0.0027,0.0,0.0
0.0512,0.0,0.04,23.25,23.25,0.0027,0.0,0.0
0.054400000000000004,0.0,0.04,23.25,23.25,0.0027,0.0,0.0
0.057600000000000005,0.0,0.04,23.25,23.25,0.0027,0.0,0.0
0.0608,0.0,0.04,23.25,23.25,0.002688035404274932,0.0,0.0
0.064,-0.04,0.04,23.25,23.25,0.002668692594311251,0.0,0.0
0.06720000000000001,0.0,0.04,23.25,23.25,0.0026493497843475696,0.0,0.0
0.0704,0.0,0.04,23.25,23.25,0.002630006974383888,0.0,0.0
0.0736,0.0,0.04,23.25,23.25,0.002610664164420207,0.0,0.0
0.07680000000000001,0.0,0.04,23.25,23.25,0.0026000000000000003,0.0,0.0
0.08,0.0,0.04,23.25,23.25,0.0026000000000000003,0.0,0.0
0.08320000000000001,0.0,0.04,23.25,23.15060671114414,0.0026000000000000003,0.0,0.0
0.0864,0.0,0.04,23.25,23.021783963684165,0.0026000000000000003,0.0,0.0
0.0896,0.0,0.04,23.25,23.0,0.0026000000000000003,0.0,0.0
0.09280000000000001,0.0,0.04,23.25,23.0,0.0026000000000000003,0.0,0.0
0.096,-0.04,0.04,23.25,23.0,0.0025925880890209667,0.0,0.0
0.09920000000000001,0.0,0.04,23.25,23.0,0.0025780310188108103,0.0,0.0
0.1024,0.0,0.04,23.25,23.0,0.002563473948600654,0.0,0.0
0.1056,0.0,0.04,23.25,23.0,0.0025489168783904975,0.0,0.0
0.10880000000000001,0.0,0.04,23.25,23.0,0.002534359808180341,0.0,0.0
0.112,0.0,0.04,23.25,23.0,0.0025198027379701848,0.0,0.0
0.11520000000000001,0.0,0.0,23.25,23.0,0.002505245667760029,0.0,0.0
0.1184,0.0,0.0,23.25,23.0,0.0025,0.0,0.0
0.1216,0.0,0.04,23.25,23.0,0.0025,0.0,0.0
0.12480000000000001,0.0,0.04,23.25,23.0,0.0025,0.0,0.0
0.128,0.0,0.0,23.25,23.0,0.0025,0.0,0.0
0.1312,0.0,0.04,23.25,23.0,0.0025,0.0,0.0
0.13440000000000002,0.0,0.04,23.25,23.0,0.0025,0.0,0.0
0.1376,0.0,0.04,23.25,23.0,0.0025097677630140877,0.0,0.0
0.1408,0.0,0.0,23.25,23.0,0.002526461630238702,0.0,0.0
0.14400000000000002,0.0,0.04,23.25,23.0,0.0025431554974633163,0.0,0.0
0.1472,0.0,0.04,23.25,23.0,0.002559849364687931,0.0,0.0
0.1504,-0.04,0.04,23.25,23.0,0.002576543231912545,0.0,0.0
0.15360000000000001,-0.04,0.0,23.25,23.0,0.002593237099137159,0.0,0.0
0.1568,0.0,0.04,23.25,23.0,0.002609883938523342,0.0,0.0
0.16,0.0,0.04,23.25,23.0,0.0026264987523646256,0.0,0.0
0.1632,0.0,0.04,23.25,23.0,0.0026431135662059097,0.0,0.0
0.16640000000000002,0.0,0.04,23.25,23.0,0.002659728380047194,0.0,0.0
0.1696,0.0,0.04,23.25,23.0,0.0026763431938884776,0.0,0.0
0.1728,0.0,0.04,23.25,23.0,0.0026929580077297618,0.0,0.0
0.17600000000000002,0.0,0.04,23.25,23.0852549489883,0.002691553148270918,0.0,0.0
0.1792,-0.04,0.0,23.25,23.214077893016295,0.0026768925941195575,0.0,0.0
0.1824,0.0,0.0,23.25,23.25,0.0026622320399681968,0.0,0.0
0.18560000000000001,0.0,0.04,23.25,23.25,0.002647571485816836,0.0,0.0
0.1888,0.0,0.04,23.25,23.25,0.0026329109316654753,0.0,0.0
0.192,0.0,0.04,23.25,23.25,0.0026182503775141145,0.0,0.0
0.1952,0.0,0.04,23.25,23.25,0.0026035898233627537,0.0,0.0
0.19840000000000002,0.0,0.04,23.25,23.25,0.0026000000000000003,0.0,0.0
0.2016,0.0,0.04,23.25,23.25,0.0026000000000000003,0.0,0.0
0.2048,-0.04,0.04,23.25,23.25,0.0026000000000000003,0.0,0.0
0.20800000000000002,0.0,0.04,23.25,23.25,0.0026000000000000003,0.0,0.0
0.2112,0.0,0.0,23.25,23.25,0.0026000000000000003,0.0,0.0
0.2144,0.0,0.04,23.25,23.25,0.0026000000000000003,0.0,0.0
0.21760000000000002,0.0,0.04,23.25,23.25,0.0026000000000000003,0.0,0.0
0.22080000000000002,0.0,0.04,23.25,23.25,0.0026000000000000003,0.0,0.0
0.224,0.0,0.04,23.25,23.25,0.0026000000000000003,0.0,0.0
0.2272,0.0,0.0,23.25,23.25,0.0026000000000000003,0.0,0.0
0.23040000000000002,0.0,0.04,23.25,23.25,0.0026000000000000003,0.0,0.0
0.2336,0.0,0.04,23.25,23.25,0.0026000000000000003,0.0,0.0
0.2368,-0.04,0.04,23.25,23.25,0.0026000000000000003,0.0,0.0
0.24000000000000002,0.0,0.04,23.25,23.25,0.0026000000000000003,0.0,0.0
0.2432,0.0,0.04,23.25,23.25,0.0026000000000000003,0.0,0.0
0.2464,0.0,0.04,23.25,23.25,0.0026000000000000003,0.0,0.0
0.24960000000000002,0.0,0.04,23.25,23.25,0.0026000000000000003,0.0,0.0
0.2528,0.0,0.04,23.25,23.25,0.0026000000000000003,0.0,0.0
0.256,0.0,0.04,23.25,23.25,0.002613322869255075,0.0,0.0
0.2592,0.0,0.0,23.25,23.25,0.0026283713173626206,0.0,0.0
0.2624,0.0,0.04,23.25,23.25,0.002643419765470166,0.0,0.0
0.2656,0.0,0.04,23.25,23.25,0.0026584682135777117,0.0,0.0
0.26880000000000004,0.0,0.04,23.25,23.25,0.002673516661685257,0.0,0.0
0.272,0.0,0.04,23.25,23.25,0.0026885651097928024,0.0,0.0
0.2752,0.0,0.0,23.25,23.25,0.0027036540104537275,0.0,0.0
0.27840000000000004,0.0,0.04,23.25,23.25,0.002718870920826755,0.0,0.0
0.2816,0.0,0.04,23.25,23.25,0.002734087831199783,0.0,0.0
0.2848,0.0,0.04,23.25,23.25,0.002749304741572811,0.0,0.0
0.28800000000000003,0.0,0.04,23.25,23.25,0.0027645216519458387,0.0,0.0
0.2912,-0.04,0.04,23.25,23.25,0.0027797385623188667,0.0,0.0
0.2944,0.0,0.04,23.25,23.25,0.0027949554726918947,0.0,0.0
0.29760000000000003,0.0,0.04,23.25,23.25,0.0027883654320958184,0.0,0.0
0.3008,0.0,0.04,23.25,23.25,0.0027709612333061233,0.0,0.0
0.304,0.0,0.04,23.25,23.25,0.002753557034516428,0.0,0.0
0.30720000000000003,0.0,0.04,23.25,23.25,0.0027361528357267334,0.0,0.0
0.3104,0.24,2.6,23.25,23.25,0.0027187486369370383,0.0,0.0
0.3136,0.32,2.6,23.25,23.25,0.0027013444381473435,0.0,0.0
0.3168,0.4,2.6,23.25,23.25,0.0026852773276532667,0.0,0.0
0.32,0.52,2.64,23.25,23.25,0.0026693221511133146,0.0,0.0
0.32320000000000004,0.6,2.64,23.25,23.25,0.0026533669745733624,0.0,0.0
