#Procedure: <__main__.LaserProcedure>
#Parameters:
#	Emission time: 0.5 s
#	Laser power setpoint: 40 %
#	Measurement time: 5 s
#	Photodiode Gain: 60
#	Sample Name: R4N24_hBN_granules
#Data:
Measurement Time (s),Photodiode Voltage (V),Trigger (V),TC1 (C),TC2 (C),Pressure (Torr),Laser output power (W),Laser output peak power (W)
0.0,0.0,0.04,22.25,22.25,0.0016,0.0,0.0
0.0032,0.0,0.04,22.25,22.25,0.0015641829260505857,0.0,0.0
0.0064,0.0,0.0,22.25,22.25,0.0015283658521011714,0.0,0.0
0.009600000000000001,0.0,0.04,22.25,22.25,0.0014925487781517572,0.0,0.0
0.0128,0.0,0.04,22.25,22.25,0.0014567317042023429,0.0,0.0
0.016,0.0,0.0,22.25,22.25,0.0014209146302529285,0.0,0.0
0.019200000000000002,0.0,0.04,22.25,22.25,0.0014,0.0,0.0
0.0224,-0.04,0.04,22.25,22.25,0.0014,0.0,0.0
0.0256,0.0,0.0,22.25,22.25,0.0014,0.0,0.0
0.028800000000000003,0.0,0.04,22.25,22.25,0.0014,0.0,0.0
0.032,0.0,0.0,22.25,22.17159671132486,0.0014,0.0,0.0
0.0352,0.0,0.04,22.25,21.913756321511595,0.0014,0.0,0.0
0.038400000000000004,0.0,0.04,22.25,21.75,0.0014,0.0,0.0
0.041600000000000005,0.0,0.0,22.25,21.75,0.0014173122663996892,0.0,0.0
0.0448,0.0,0.04,22.25,21.75,0.0014373237524814148,0.0,0.0
0.048,0.0,0.0,22.25,21.75,0.0014573352385631403,0.0,0.0
0.0512,0.0,0.0,22.25,21.75,0.001477346724644866,0.0,0.0
0.054400000000000004,0.0,0.0,22.25,21.75,0.0014973582107265916,0.0,0.0
0.057600000000000005,-0.04,0.0,22.25,21.75,0.0015173696968083172,0.0,0.0
0.0608,0.0,0.04,22.25,21.75,0.001537381182890043,0.0,0.0
0.064,0.0,0.04,22.25,21.75,0.0015573926689717685,0.0,0.0
0.06720000000000001,-0.04,0.04,22.25,21.75,0.001577404155053494,0.0,0.0
0.0704,0.0,0.04,22.25,21.75,0.0015974156411352198,0.0,0.0
0.0736,-0.04,0.0,22.25,21.75,0.0015897808505961572,0.0,0.0
0.07680000000000001,0.0,0.04,22.25,21.75,0.0015780462506522703,0.0,0.0
0.08,0.0,0.0,22.25,21.75,0.0015663116507083836,0.0,0.0
0.08320000000000001,0.0,0.04,22.25,21.75,0.0015545770507644965,0.0,0.0
0.0864,0.0,0.04,22.25,21.75,0.0015428424508206096,0.0,0.0
0.0896,0.0,0.0,22.25,21.75,0.0015311078508767227,0.0,0.0
0.09280000000000001,0.0,0.0,22.25,21.75,0.001519373250932836,0.0,0.0
0.096,0.0,0.0,22.25,21.75,0.001507638650988949,0.0,0.0
0.09920000000000001,0.0,0.04,22.25,21.75,0.0015056668016106029,0.0,0.0
0.1024,0.0,0.04,22.25,21.75,0.0015219017817320298,0.0,0.0
0.1056,0.0,0.0,22.25,21.75,0.0015381367618534567,0.0,0.0
0.10880000000000001,0.0,0.0,22.25,21.75,0.0015543717419748838,0.0,0.0
0.112,-0.04,0.04,22.25,21.75,0.0015706067220963107,0.0,0.0
0.11520000000000001,0.0,0.0,22.25,21.75,0.0015868417022177378,0.0,0.0
0.1184,0.0,0.0,22.25,21.75,0.0015971990291012879,0.0,0.0
0.1216,0.0,0.0,22.25,21.75,0.0015824189179788522,0.0,0.0
0.12480000000000001,0.0,0.04,22.25,21.80577280743853,0.0015676388068564166,0.0,0.0
0.128,-0.04,0.04,22.25,22.063613393968353,0.001552858695733981,0.0,0.0
0.1312,0.0,0.04,22.25,22.25,0.0015380785846115454,0.0,0.0
0.13440000000000002,-0.04,0.0,22.25,22.25,0.0015232984734891097,0.0,0.0
0.1376,0.0,0.04,22.25,22.25,0.001508518362366674,0.0,0.0
0.1408,0.0,0.04,22.25,22.25,0.0015,0.0,0.0
0.14400000000000002,0.0,0.0,22.25,22.25,0.0015,0.0,0.0
0.1472,0.0,0.0,22.25,22.25,0.0015,0.0,0.0
0.1504,0.0,0.0,22.25,22.25,0.0015,0.0,0.0
0.15360000000000001,0.0,0.0,22.25,22.25,0.0015,0.0,0.0
0.1568,-0.04,0.0,22.25,22.25,0.001502153286303766,0.0,0.0
0.16,0.0,0.04,22.25,22.25,0.0015172183509518677,0.0,0.0
0.1632,0.0,0.0,22.25,22.25,0.0015322834155999693,0.0,0.0
0.16640000000000002,0.0,0.04,22.25,22.25,0.0015473484802480707,0.0,0.0
0.1696,0.0,0.04,22.25,22.25,0.0015624135448961724,0.0,0.0
0.1728,0.0,0.04,22.25,22.25,0.001577478609544274,0.0,0.0
0.17600000000000002,0.0,0.0,22.25,22.25,0.0015925436741923754,0.0,0.0
0.1792,0.0,0.0,22.25,22.25,0.0016,0.0,0.0
0.1824,-0.04,0.04,22.25,22.25,0.0016,0.0,0.0
0.18560000000000001,0.0,0.04,22.25,22.25,0.0016,0.0,0.0
0.1888,0.0,0.0,22.25,22.25,0.0016,0.0,0.0
0.192,0.0,0.0,22.25,22.25,0.0016,0.0,0.0
0.1952,0.0,0.0,22.25,22.25,0.0016,0.0,0.0
0.19840000000000002,0.0,0.0,22.25,22.25,0.0016,0.0,0.0
0.2016,0.0,0.0,22.25,22.25,0.0016,0.0,0.0
0.2048,0.0,0.0,22.25,22.25,0.0016,0.0,0.0
0.20800000000000002,0.0,0.04,22.25,22.25,0.0016,0.0,0.0
0.2112,0.0,0.04,22.25,22.25,0.0016,0.0,0.0
0.2144,0.0,0.04,22.25,22.25,0.0016,0.0,0.0
0.21760000000000002,0.0,0.0,22.25,22.25,0.0016,0.0,0.0
0.22080000000000002,0.0,0.04,22.25,22.25,0.0016,0.0,0.0
0.224,-0.04,0.04,22.25,22.25,0.0016,0.0,0.0
0.2272,-0.04,0.04,22.25,22.25,0.0016,0.0,0.0
0.23040000000000002,0.0,0.04,22.25,22.25,0.0016,0.0,0.0
0.2336,-0.04,0.04,22.25,22.25,0.0016,0.0,0.0
0.2368,-0.04,0.04,22.25,22.25,0.0016,0.0,0.0
0.24000000000000002,-0.04,0.0,22.25,22.25,0.0016,0.0,0.0
0.2432,-0.04,0.04,22.25,22.25,0.0016,0.0,0.0
0.2464,0.0,0.04,22.25,22.25,0.0016,0.0,0.0
0.24960000000000002,0.0,0.0,22.25,22.25,0.0016,0.0,0.0
0.2528,0.0,0.04,22.25,22.25,0.0016,0.0,0.0
0.256,0.0,0.0,22.25,22.25,0.0016,0.0,0.0
0.2592,-0.04,0.04,22.25,22.25,0.001589329043719198,0.0,0.0
0.2624,0.0,0.0,22.25,22.25,0.0015716135385128189,0.0,0.0
0.2656,0.0,0.04,22.25,22.25,0.0015538980333064396,0.0,0.0
0.26880000000000004,0.0,0.04,22.25,22.25,0.0015361825281000607,0.0,0.0
0.272,0.0,0.0,22.25,22.25,0.0015184670228936816,0.0,0.0
0.2752,-0.04,0.04,22.25,22.25,0.0015007515176873024,0.0,0.0
0.27840000000000004,0.0,0.0,22.25,22.25,0.0014683936034765894,0.0,0.0
0.2816,0.0,0.04,22.25,22.25,0.0014353870192913732,0.0,0.0
0.2848,0.0,0.0,22.25,22.25,0.0014023804351061568,0.0,0.0
0.28800000000000003,0.0,0.0,22.25,22.25,0.0013693738509209406,0.0,0.0
0.2912,-0.04,0.04,22.25,22.25,0.001336367266735724,0.0,0.0
0.2944,0.0,0.04,22.25,22.25,0.0013033606825505076,0.0,0.0
0.29760000000000003,0.0,0.04,22.25,22.25,0.0013256664808313184,0.0,0.0
0.3008,0.0,0.0,22.25,22.25,0.001354242533964589,0.0,0.0
0.304,0.0,0.0,22.25,22.25,0.0013828185870978591,0.0,0.0
0.30720000000000003,0.0,0.0,22.25,22.25,0.0014113946402311292,0.0,0.0
0.3104,0.0,0.0,22.25,22.244743951069594,0.0014399706933643998,0.0,0.0
0.3136,0.08,2.6,22.25,22.115823657804683,0.00146854674649767,0.0,0.0
0.3168,0.6,2.6,22.25,22.0,0.0014971227996309403,0.0,0.0
0.32,0.92,2.6,22.25,22.0,0.0015,0.0,0.0
0.32320000000000004,1.28,2.6,22.25,22.0,0.0015,0.0,0.0
0.3264,1.48,2.6,22.25,22.0,0.0015,0.0,0.0
0.3296,1.76,2.6,22.221222393539527,22.0,0.0015,0.0,0.0
0.33280000000000004,1.92,2.6,22.09230287730503,22.0,0.0015,0.0,0.0
0.336,2.08,2.6,22.0,22.0,0.0015,0.0,0.0
0.3392,2.16,2.6,22.0,22.0,0.0015,0.0,0.0
0.34240000000000004,2.32,2.6,22.0,22.0,0.0015,0.0,0.0
0.3456,2.4,2.6,22.0,22.0,0.0015,0.0,0.0
0.3488,2.48,2.6,22.0,22.0,0.0015,0.0,0.0
0.35200000000000004,2.56,2.6,22.0,22.0,0.0015,0.0,0.0
0.3552,2.72,2.6,22.0,22.0,0.0015,0.0,0.0
0.3584,2.7600000000000002,2.6,22.0,22.0,0.0015,0.0,0.0
0.36160000000000003,2.88,2.6,22.0,22.0,0.0015,0.0,0.0
0.3648,2.96,2.6,22.0,22.0,0.0015,0.0,0.0
0.368,3.08,2.6,22.0,22.0,0.0015,0.0,0.0
0.37120000000000003,3.12,2.6,22.0,22.0,0.0015,0.0,0.0
0.3744,3.24,2.6,22.0,22.0,0.0015,0.0,0.0
0.3776,3.3200000000000003,2.6,22.0,22.0,0.0015,0.0,0.0
0.3808,3.44,2.6,22.0,22.0,0.0015,0.0,0.0
0.384,3.52,2.6,22.0,22.0,0.0015,0.0,0.0
0.38720000000000004,3.6,2.6,22.0,22.0,0.0015,0.0,0.0
0.3904,3.72,2.6,22.0,22.0,0.0015,0.0,0.0
