#DataThief G:\Shared drives\ARPA-E Project\Literature\Film Thickness\Smausz2017.png Thursday 30-May-2024 1:51:57 PM
# Smausz, T., Kondász, B., Gera, T. et al. Determination of UV–visible–NIR absorption coefficient of graphite bulk using direct and indirect methods. Appl. Phys. A 123, 633 (2017). https://doi.org/10.1007/s00339-017-1249-y
Wavelength (nm),alpha (1/um)
249.0641, 18.329
249.0641, 18.2903
249.0641, 18.2517
249.0641, 18.213
250.1985, 18.1743
250.1985, 18.1356
250.1985, 18.097
251.333, 18.0583
251.333, 18.0196
251.333, 17.9809
251.333, 17.9423
252.4674, 17.9036
252.4674, 17.8649
252.4674, 17.8263
252.4674, 17.7875
253.6018, 17.7489
253.6018, 17.7102
253.6018, 17.6716
253.6018, 17.6329
254.7362, 17.5941
254.7362, 17.5554
254.7362, 17.5169
254.7362, 17.4782
255.8707, 17.4395
255.8707, 17.4009
255.8707, 17.3622
255.8707, 17.3235
257.0051, 17.2848
257.0051, 17.2462
257.0051, 17.2075
258.1395, 17.1688
258.1395, 17.1301
258.1395, 17.0915
258.1395, 17.0528
258.1395, 17.0141
259.274, 16.9755
259.274, 16.9367
259.274, 16.8981
259.274, 16.8594
260.4083, 16.8208
260.4083, 16.7821
260.4083, 16.7433
260.4083, 16.7048
260.4083, 16.6661
260.4083, 16.6274
261.5428, 16.5887
261.5428, 16.5501
261.5428, 16.5114
261.5428, 16.4727
262.6773, 16.434
262.6773, 16.3954
262.6773, 16.3567
262.6773, 16.318
262.6773, 16.2793
262.6773, 16.2407
262.6773, 16.202
263.8117, 16.1633
264.9461, 16.1247
264.9461, 16.086
264.9461, 16.0473
264.9461, 16.0087
266.0805, 15.97
267.215, 15.9313
267.215, 15.8925
267.215, 15.854
266.0805, 15.8153
266.0805, 15.7766
266.0805, 15.738
266.0805, 15.6993
266.0805, 15.6606
267.215, 15.6219
268.3494, 15.5833
268.3494, 15.5446
268.3494, 15.5059
268.3494, 15.4672
268.3494, 15.4285
268.3494, 15.3899
268.3494, 15.3512
269.4838, 15.3126
269.4838, 15.2739
269.4838, 15.2352
269.4838, 15.1965
269.4838, 15.1579
270.6183, 15.1192
270.6183, 15.0805
270.6183, 15.0419
271.7527, 15.0032
271.7527, 14.9645
271.7527, 14.9258
271.7527, 14.8872
271.7527, 14.8485
271.7527, 14.8098
272.8871, 14.7711
272.8871, 14.7325
272.8871, 14.6938
272.8871, 14.6551
272.8871, 14.6165
274.0216, 14.5777
274.0216, 14.5391
274.0216, 14.5004
274.0216, 14.4618
274.0216, 14.4231
275.156, 14.3844
275.156, 14.3458
275.156, 14.3071
275.156, 14.2684
275.156, 14.2297
276.2904, 14.1911
276.2904, 14.1524
276.2904, 14.1137
276.2904, 14.0751
277.4248, 14.0364
277.4248, 13.9977
277.4248, 13.959
277.4248, 13.9203
277.4248, 13.8817
278.5593, 13.843
278.5593, 13.8043
278.5593, 13.7657
279.6937, 13.7269
279.6937, 13.6883
279.6937, 13.6497
279.6937, 13.611
279.6937, 13.5723
279.6937, 13.5335
280.8281, 13.495
280.8281, 13.4563
280.8281, 13.4176
280.8281, 13.379
281.9626, 13.3403
281.9626, 13.3016
281.9626, 13.2629
281.9626, 13.2243
281.9626, 13.1856
283.097, 13.1469
283.097, 13.1082
283.097, 13.0695
283.097, 13.0309
284.2314, 12.9922
284.2314, 12.9536
284.2314, 12.9149
284.2314, 12.8761
285.3659, 12.8375
285.3659, 12.7989
285.3659, 12.7602
285.3659, 12.7215
286.5003, 12.6827
286.5003, 12.6442
286.5003, 12.6055
286.5003, 12.5668
287.6347, 12.5282
287.6347, 12.4895
287.6347, 12.4508
287.6347, 12.4121
288.7691, 12.3735
288.7691, 12.3348
288.7691, 12.2961
289.9036, 12.2574
289.9036, 12.2187
289.9036, 12.1801
289.9036, 12.1414
291.038, 12.1028
291.038, 12.0641
291.038, 12.0254
292.1724, 11.9867
292.1724, 11.9481
292.1724, 11.9094
292.1724, 11.8707
293.3069, 11.8319
293.3069, 11.7934
293.3069, 11.7547
294.4413, 11.716
294.4413, 11.6774
294.4413, 11.6387
294.4413, 11.6
295.5756, 11.5613
295.5756, 11.5227
295.5756, 11.484
296.7102, 11.4453
296.7102, 11.4066
296.7102, 11.3679
297.8446, 11.3293
297.8446, 11.2906
297.8446, 11.252
298.979, 11.2133
298.979, 11.1746
298.979, 11.1359
300.1134, 11.0973
300.1134, 11.0586
300.1134, 11.0199
301.2479, 10.9811
301.2479, 10.9426
301.2479, 10.9039
302.3822, 10.8652
302.3822, 10.8265
303.5167, 10.7879
303.5167, 10.7492
303.5167, 10.7105
304.6512, 10.6718
304.6512, 10.6332
305.7856, 10.5945
305.7856, 10.5558
305.7856, 10.5171
306.92, 10.4785
306.92, 10.4398
308.0545, 10.4011
308.0545, 10.3625
308.0545, 10.3237
309.1889, 10.2851
309.1889, 10.2464
310.3233, 10.2078
310.3233, 10.1691
311.4577, 10.1304
311.4577, 10.0917
312.5922, 10.053
312.5922, 10.0144
313.7266, 9.9757
313.7266, 9.937
314.861, 9.8982
314.861, 9.8597
315.9955, 9.821
315.9955, 9.7823
317.1299, 9.7436
317.1299, 9.705
318.2643, 9.6663
319.3988, 9.6276
319.3988, 9.5889
320.5332, 9.5503
320.5332, 9.5116
321.6676, 9.4729
322.802, 9.4342
322.802, 9.3956
323.9365, 9.3569
325.0709, 9.3182
325.0709, 9.2795
326.2053, 9.2409
327.3397, 9.2022
327.3397, 9.1635
328.4742, 9.1248
329.6086, 9.0861
330.7431, 9.0475
330.7431, 9.0088
331.8775, 8.9701
333.0119, 8.9701
334.1463, 8.9701
335.2808, 8.9314
335.2808, 8.8927
336.4152, 8.854
336.4152, 8.8154
336.4152, 8.7767
337.5495, 8.7767
338.6841, 8.7767
339.8185, 8.738
340.9529, 8.6993
342.0874, 8.6606
343.2218, 8.6219
344.3562, 8.5833
345.4906, 8.5833
346.6251, 8.5446
347.7595, 8.5059
348.8939, 8.4672
348.8939, 8.4285
348.8939, 8.3899
350.0284, 8.3512
351.1628, 8.3512
352.2972, 8.3125
353.4317, 8.3125
354.5661, 8.2738
355.7005, 8.2352
355.7005, 8.1965
356.8349, 8.1965
357.9694, 8.1965
359.1038, 8.1965
360.2382, 8.1578
361.3727, 8.1191
362.507, 8.0804
363.6415, 8.0417
364.776, 8.003
365.9104, 8.003
365.9104, 7.9644
367.0448, 7.9644
368.1792, 7.9257
369.3136, 7.887
370.4481, 7.887
370.4481, 7.8483
371.5825, 7.8483
372.717, 7.8483
373.8514, 7.8096
374.9858, 7.7709
376.1202, 7.7709
377.2547, 7.7322
378.3891, 7.6936
379.5234, 7.6935
380.658, 7.6549
381.7924, 7.6162
382.9268, 7.6162
382.9268, 7.5775
384.0613, 7.5775
385.1957, 7.5388
386.3301, 7.5388
386.3301, 7.5001
387.4645, 7.5001
388.599, 7.5001
389.7334, 7.4614
390.8678, 7.4227
392.0023, 7.4227
393.1367, 7.3841
394.2711, 7.384
395.4056, 7.3454
396.54, 7.3454
397.6743, 7.3067
398.8088, 7.3067
399.9433, 7.268
401.0777, 7.268
402.2121, 7.2293
403.3466, 7.1905
404.4809, 7.1905
405.6154, 7.1519
406.7499, 7.1132
407.8843, 7.1132
409.0187, 7.0745
410.1531, 7.0745
411.2876, 7.0359
412.422, 7.0358
413.5564, 7.0358
414.6909, 6.9971
415.8253, 6.9585
416.9597, 6.9585
418.0942, 6.9198
419.2286, 6.9198
420.363, 6.8811
421.4974, 6.8811
422.6319, 6.8424
423.7663, 6.8424
424.9007, 6.8037
426.0352, 6.8037
427.1696, 6.765
428.304, 6.765
429.4385, 6.7263
430.5729, 6.7263
431.7073, 6.7263
432.8417, 6.6876
433.9762, 6.6489
435.1106, 6.6489
436.245, 6.6101
437.3795, 6.6101
438.5139, 6.6101
439.6482, 6.5715
440.7828, 6.5715
441.9172, 6.5329
443.0516, 6.5328
444.186, 6.4942
445.3205, 6.4941
446.4549, 6.4941
447.5893, 6.4555
448.7238, 6.4554
449.8582, 6.4168
450.9926, 6.4168
452.1271, 6.4167
453.2615, 6.378
454.3959, 6.378
455.5303, 6.3394
456.6648, 6.3394
457.7992, 6.3007
458.9336, 6.3007
460.0681, 6.3007
461.2025, 6.3006
462.3369, 6.262
463.4714, 6.262
464.6058, 6.2233
465.7402, 6.2233
466.8746, 6.2233
468.0091, 6.1846
469.1435, 6.1846
470.2779, 6.1459
471.4123, 6.1459
472.5468, 6.1459
473.6812, 6.1072
474.8157, 6.1072
475.9501, 6.1072
477.0845, 6.0685
478.2189, 6.0685
479.3534, 6.0685
480.4878, 6.0298
481.6221, 6.0298
482.7567, 6.0297
483.8911, 5.991
485.0255, 5.991
486.16, 5.991
487.2944, 5.9524
488.4288, 5.9524
489.5632, 5.9523
490.6977, 5.9523
491.8321, 5.9137
492.9665, 5.9136
494.101, 5.9136
495.2354, 5.8749
496.3698, 5.8749
497.5043, 5.8749
498.6387, 5.8362
499.7731, 5.8362
500.9075, 5.8362
502.042, 5.8362
503.1764, 5.7974
504.3108, 5.7974
505.4453, 5.7974
506.5796, 5.7588
507.7141, 5.7588
508.8486, 5.7588
509.983, 5.7588
511.1174, 5.7201
512.2518, 5.7201
513.3862, 5.7201
514.5207, 5.7201
515.6551, 5.6814
516.7896, 5.6814
517.924, 5.6814
519.0584, 5.6814
520.1929, 5.6427
521.3273, 5.6427
522.4617, 5.6427
523.596, 5.6427
