#Procedure: <__main__.LaserProcedure>
#Parameters:
#	Acquisition mode: Multi frame
#	Camera acquisition time: 0.5 s
#	Camera exposure time: 100 us
#	Frame rate: 200 Hz
#	Gain: 5 dB
#	Emission Time: 0.5 s
#	Laser Power Setpoint: 40 %
#	Measurement Time: 220 s
#	Sample Name: BORON_10MM
#Data:
Measurement Time (s),Pressure (Torr),TC1 (C),TC2 (C),Trigger (V),Laser output power (W),Laser output peak power (W)
0.0,0.0,23.5,24.25,0.0,0.0,0.0
0.005,0.0,23.51,24.25,0.0,0.0,0.0
0.01,0.0,23.52,24.25,0.0,0.0,0.0
0.015,0.0,23.53,24.25,0.0,0.0,0.0
0.02,0.0,23.55,24.25,0.0,0.0,0.0
0.025,0.0,23.56,24.25,0.0,0.0,0.0
0.03,0.0,23.57,24.25,0.0,0.0,0.0
0.035,0.0,23.58,24.25,0.0,0.0,0.0
0.04,0.0,23.59,24.25,0.0,0.0,0.0
0.045,0.0,23.6,24.25,0.0,0.0,0.0
0.05,0.0,23.61,24.25,0.0,0.0,0.0
0.055,0.0,23.62,24.25,0.0,0.0,0.0
0.06,0.0,23.64,24.25,0.0,0.0,0.0
0.065,0.0,23.65,24.25,0.0,0.0,0.0
0.07,0.0,23.66,24.25,0.0,0.0,0.0
0.075,0.0,23.67,24.25,0.0,0.0,0.0
0.08,0.0,23.68,24.25,0.0,0.0,0.0
0.085,0.0,23.69,24.25,0.0,0.0,0.0
0.09,0.0,23.7,24.25,0.0,0.0,0.0
0.095,0.0,23.72,24.25,0.0,0.0,0.0
0.1,0.0,23.73,24.25,0.0,0.0,0.0
0.105,0.0,23.74,24.25,0.0,0.0,0.0
0.11,0.0,23.75,24.25,0.0,0.0,0.0
0.115,0.0,23.75,24.25,0.0,0.0,0.0
0.12,0.0,23.75,24.25,0.0,0.0,0.0
0.125,0.0,23.75,24.25,0.0,0.0,0.0
0.13,0.0,23.75,24.25,0.0,0.0,0.0
0.135,0.0,23.75,24.25,0.0,0.0,0.0
0.14,0.0,23.75,24.25,0.0,0.0,0.0
0.145,0.0,23.75,24.25,0.0,0.0,0.0
0.15,0.0,23.75,24.25,0.0,0.0,0.0
0.155,0.0,23.75,24.25,0.0,0.0,0.0
0.16,0.0,23.75,24.25,0.0,0.0,0.0
0.165,0.0,23.75,24.25,0.0,0.0,0.0
0.17,0.0,23.75,24.25,0.0,0.0,0.0
0.175,0.0,23.75,24.25,0.0,0.0,0.0
0.18,0.0,23.75,24.25,0.0,0.0,0.0
0.185,0.0,23.75,24.25,0.0,0.0,0.0
0.19,0.0,23.75,24.25,0.0,0.0,0.0
0.195,0.0,23.75,24.25,0.0,0.0,0.0
0.2,0.0,23.75,24.25,0.0,0.0,0.0
0.205,0.0,23.75,24.25,0.0,0.0,0.0
0.21,0.0,23.75,24.25,0.0,0.0,0.0
0.215,0.0,23.75,24.25,0.0,0.0,0.0
0.22,0.0,23.75,24.25,0.0,0.0,0.0
0.225,0.0,23.75,24.25,0.0,0.0,0.0
0.23,0.0,23.75,24.25,0.0,0.0,0.0
0.235,0.0,23.75,24.25,0.0,0.0,0.0
0.24,0.0,23.75,24.25,0.0,0.0,0.0
0.245,0.0,23.75,24.25,0.0,0.0,0.0
0.25,0.0,23.75,24.25,0.0,0.0,0.0
0.255,0.0,23.75,24.25,0.0,0.0,0.0
0.26,0.0,23.75,24.25,0.0,0.0,0.0
0.265,0.0,23.75,24.25,0.0,0.0,0.0
0.27,0.0,23.75,24.25,0.0,0.0,0.0
0.275,0.0,23.75,24.25,0.0,0.0,0.0
0.28,0.0,23.75,24.25,0.0,0.0,0.0
0.285,0.0,23.75,24.25,0.0,0.0,0.0
0.29,0.0,23.75,24.25,0.0,0.0,0.0
0.295,0.0,23.75,24.25,0.0,0.0,0.0
0.3,0.0,23.75,24.25,0.0,0.0,0.0
0.305,0.0,23.75,24.25,0.0,0.0,0.0
0.31,0.0,23.75,24.25,0.0,0.0,0.0
0.315,0.0,23.75,24.25,0.0,0.0,0.0
0.32,0.0,23.75,24.25,0.0,0.0,0.0
0.325,0.0,23.75,24.25,0.0,0.0,0.0
0.33,0.0,23.75,24.25,0.0,0.0,0.0
0.335,0.0,23.75,24.25,0.0,0.0,0.0
0.34,0.0,23.75,24.25,0.0,0.0,0.0
0.345,0.0,23.75,24.25,0.0,0.0,0.0
0.35,0.0,23.75,24.25,0.0,0.0,0.0
0.355,0.0,23.75,24.25,0.0,0.0,0.0
0.36,0.0,23.75,24.25,0.0,0.0,0.0
0.365,0.0,23.75,24.25,0.0,0.0,0.0
0.37,0.0,23.75,24.25,0.0,0.0,0.0
0.375,0.0,23.75,24.25,0.0,0.0,0.0
0.38,0.0,23.75,24.25,0.0,0.0,0.0
0.385,0.0,23.75,24.25,0.0,0.0,0.0
0.39,0.0,23.75,24.25,0.0,0.0,0.0
0.395,0.0,23.75,24.25,0.0,0.0,0.0
0.4,0.0,23.75,24.25,0.0,0.0,0.0
0.405,0.0,23.75,24.25,0.0,0.0,0.0
0.41,0.0,23.75,24.25,0.0,0.0,0.0
0.415,0.0,23.75,24.25,0.0,0.0,0.0
0.42,0.0,23.75,24.25,0.0,0.0,0.0
0.425,0.0,23.75,24.25,0.0,0.0,0.0
0.43,0.0,23.75,24.25,0.0,0.0,0.0
0.435,0.0,23.75,24.25,0.0,0.0,0.0
0.44,0.0,23.75,24.25,0.0,0.0,0.0
0.445,0.0,23.75,24.25,0.0,1.6,11.9
0.45,0.0,23.75,24.25,0.0,19.2,144.5
0.455,0.0,23.75,24.25,0.0,36.9,277.0
0.46,0.0,23.75,24.25,0.0,54.5,409.6
0.465,0.0,23.75,24.25,0.0,72.2,542.1
0.47,0.0,23.75,24.25,0.0,89.8,674.7
0.475,0.0,23.75,24.25,0.0,107.5,807.2
0.48,0.0,23.75,24.25,0.0,125.2,939.8
0.485,0.0,23.75,24.25,0.0,142.8,1072.4
0.49,0.0,23.75,24.25,0.0,160.5,1204.9
0.495,0.0,23.75,24.25,0.372,184.5,1209.0
0.5,0.0,23.75,24.25,0.755,208.8,1209.0
0.505,0.0,23.75,24.25,1.139,233.1,1209.0
0.51,0.0,23.75,24.25,1.522,257.4,1209.0
0.515,0.0,23.75,24.25,1.906,281.7,1209.0
0.52,0.0,23.75,24.25,2.289,306.0,1209.0
0.525,0.0,23.75,24.25,2.673,330.3,1209.0
0.53,0.0,23.75,24.25,3.0,356.4,1209.0
0.535,0.0,23.75,24.25,3.0,393.2,1209.0
0.54,0.0,23.75,24.25,3.0,429.9,1209.0
0.545,0.0,23.75,24.25,3.0,466.7,1209.0
0.55,0.0,23.75,24.25,3.0,503.5,1209.0
0.555,0.0,23.75,24.25,3.0,540.3,1209.0
0.56,0.0,23.75,24.25,3.0,577.1,1209.0
0.565,0.0,23.75,24.25,3.0,613.8,1209.0
0.57,0.0,23.75,24.25,3.0,645.2,1209.0
0.575,0.0,23.75,24.25,3.0,670.8,1209.0
0.58,0.0,23.75,24.25,3.0,696.3,1209.0
0.585,0.0,23.75,24.25,3.0,721.8,1209.0
0.59,0.0,23.75,24.25,3.0,747.3,1209.0
0.595,0.0,23.75,24.25,3.0,772.9,1209.0
