V (%),w(V),k(V)
0.0,0.058214918040563834,0.005898404401511611
10.0,0.6524777975444755,0.0661098227475519
20.0,0.8315665941420981,0.0842553115959049
25.0,0.9151629586789888,0.092725394198979
30.0,0.9989420836734858,0.1012139943079408
33.3,1.0552377548005378,0.1069179383404735
40.0,1.1740806111029911,0.11895923720847433
50.0,1.3697559784993265,0.13878529704272033
60.0,1.601206859809636,0.16223617429214313
66.7,1.7880684154805324,0.18116920828996694
70.0,1.8937046648264597,0.19187239810923343
75.0,2.0774749879971677,0.2104922247712245
80.0,2.301581584667391,0.23319897040790752
90.0,2.995607218869777,0.3035184691434174
