Time (s),TC1 (C),TC2 (C)
0.0,22.75,22.75
0.03,22.75,22.25
0.06,22.75,22.25
0.09,22.75,22.25
0.12,22.75,22.5
0.15,22.75,22.5
0.18,22.75,22.75
0.21,22.75,22.75
0.24,22.75,22.75
0.27,22.75,22.75
0.3,22.75,22.75
0.33,22.75,22.75
0.36,22.75,22.75
0.39,22.75,22.75
0.42,22.75,22.75
0.45,22.75,22.75
0.48,22.75,22.75
0.51,22.75,22.75
0.54,22.75,22.75
0.57,22.75,22.75
0.6,22.75,22.75
0.63,22.75,22.75
0.66,22.75,22.75
0.69,22.75,22.75
0.72,22.75,22.75
0.75,22.75,22.75
0.78,22.75,22.75
0.81,22.75,22.75
0.84,22.75,22.75
0.87,22.75,22.75
0.9,22.75,22.75
0.93,22.75,22.75
0.96,22.75,22.75
0.99,22.75,23.0
1.02,22.75,23.0
1.05,22.75,23.0
1.08,22.75,23.0
1.11,22.75,23.0
1.14,22.75,23.0
1.17,22.75,23.0
1.2,22.75,23.0
1.23,22.75,23.25
1.26,22.75,23.25
1.29,22.75,23.25
1.32,22.75,23.25
1.35,22.75,23.25
1.38,22.75,23.5
1.41,22.75,23.5
1.44,22.75,23.5
1.47,22.75,23.5
1.5,22.75,23.5
1.53,22.75,23.75
1.56,22.75,23.75
1.59,22.75,24.0
1.62,22.75,24.0
1.65,22.75,24.0
1.68,22.75,24.25
1.71,22.75,24.25
1.74,22.75,24.25
1.77,22.75,24.25
1.8,22.75,24.25
1.83,22.75,24.5
1.86,22.75,24.5
1.89,22.75,24.75
1.92,22.75,24.75
1.95,22.75,24.75
1.98,22.75,25.0
2.01,22.75,25.0
2.04,22.75,25.0
2.07,22.75,25.0
2.1,22.75,25.0
2.13,22.75,25.25
2.16,22.75,25.25
2.19,22.75,25.5
2.22,22.75,25.5
2.25,22.75,25.5
2.28,22.75,25.5
2.31,22.75,25.5
2.34,22.75,25.75
2.37,22.75,25.75
2.4,22.75,25.75
2.43,22.75,25.75
2.46,22.75,25.75
2.49,22.75,26.0
2.52,22.75,26.0
2.55,22.75,26.0
2.58,22.75,26.0
2.61,22.75,26.0
2.64,22.75,26.25
2.67,22.75,26.25
2.7,22.75,26.25
2.73,22.75,26.25
2.76,22.75,26.25
2.79,22.75,26.25
2.82,22.75,26.25
2.85,22.75,26.25
2.88,22.75,26.5
2.91,22.75,26.5
2.94,22.75,26.5
2.97,22.75,26.5
3.0,22.75,26.5
3.03,22.75,26.5
