#Procedure: <__main__.ExtrusionProcedure>
#Parameters:
#	Bake Time: 60 min
#	Baking Position: 18 in
#	DC Voltage: 0
#	Voltage Mode: PID
#	Sample Length: 5 cm
#	Sample Name: R4N32_CYREZ
#	Ramping rate: 25 C/min
#	Temperature setpoint: 800 C
#	Stabilization Time: 5 min
#Data:
Time (s),Baking Pressure (Torr),Outgassing Pressure (Torr),Baking Temperature (C),Outgassing Temperature (C),Position (in),DC Voltage (V),Is Baking?
0.0,0.27,0.26,116.0,52.25,8.578464566929133,0.0,0.0
1.2149701118469238,0.26,0.26,115.75,51.75,8.552401574803149,40.759375,0.0
2.5056192874908447,0.26,0.25,116.25,52.0,8.643622047244094,1.3199984507156663,0.0
3.520763874053955,0.26,0.25,115.5,51.5,8.643622047244094,4.852327968779301,0.0
4.540978670120239,0.25,0.25,116.0,52.0,8.61755905511811,4.764129764739012,0.0
5.558086395263672,0.25,0.24,116.0,52.0,8.656653543307085,6.227044884938671,0.0
6.580224275588989,0.25,0.24,115.75,51.5,8.643622047244094,30.850079607759277,0.0
7.595011949539185,0.25,0.24,116.0,52.0,8.604527559055118,96.39890828893915,0.0
8.976593494415283,0.24,0.22999999999999998,116.0,52.0,8.474212598425195,155.49943029427175,0.0
10.312092781066895,0.24,0.22999999999999998,117.0,52.0,8.6305905511811,0,0.0
11.322163343429565,0.22999999999999998,0.22999999999999998,116.75,52.0,8.6305905511811,12.873341545054434,0.0
12.34785509109497,0.22999999999999998,0.22000000000000003,117.75,51.5,8.61755905511811,0,0.0
13.367243528366089,0.22999999999999998,0.22000000000000003,117.5,52.0,8.591496062992125,13.84292644768529,0.0
14.528745889663696,0.22999999999999998,0.22000000000000003,118.25,52.0,8.6305905511811,0,0.0
16.057560920715332,0.22000000000000003,0.21000000000000002,118.75,51.5,8.6305905511811,0,0.0
17.095582485198975,0.22000000000000003,0.21000000000000002,119.0,51.75,8.6305905511811,15.187592344332124,0.0
18.123459815979004,0.22000000000000003,0.21000000000000002,119.25,52.0,8.604527559055118,16.11506475406182,0.0
19.131336212158203,0.21000000000000002,0.2,119.75,51.25,8.31783464566929,0,0.0
20.13953161239624,0.21000000000000002,0.2,120.25,52.0,8.591496062992125,0,0.0
21.173592805862427,0.21000000000000002,0.2,119.75,51.75,8.6305905511811,19.787447152475686,0.0
22.193247318267822,0.2,0.2,120.75,51.25,8.604527559055118,0,0.0
23.210649490356445,0.2,0.19,120.5,51.75,8.6305905511811,20.9989063712531,0.0
24.225722789764404,0.2,0.19,121.5,51.5,8.61755905511811,0,0.0
25.24569869041443,0.2,0.19,121.75,51.5,8.669685039370078,0,0.0
26.27162194252014,0.2,0.19,121.5,51.75,8.643622047244094,23.190934100937014,0.0
27.959306478500366,0.19,0.19,122.0,51.25,8.604527559055118,82.6811168454507,0.0
29.035788774490356,0.19,0.18000000000000002,122.75,51.75,8.578464566929133,0,0.0
30.318713426589966,0.19,0.18000000000000002,123.25,51.25,8.6305905511811,0,0.0
31.350526094436646,0.19,0.18000000000000002,123.25,51.75,8.61755905511811,4.529901942013673,0.0
32.693458795547485,0.19,0.18000000000000002,124.0,51.25,8.604527559055118,0,0.0
33.7281277179718,0.18000000000000002,0.18000000000000002,124.0,51.75,8.604527559055118,28.694350518694563,0.0
34.738489389419556,0.18000000000000002,0.17,124.25,51.25,8.6305905511811,29.799019218992576,0.0
35.75682044029236,0.18000000000000002,0.17,125.0,51.25,8.61755905511811,0,0.0
36.78697443008423,0.18000000000000002,0.17,124.75,51.5,8.61755905511811,75.74181379910789,0.0
