Mass (lbs),Mass Error (lbs),Mass (kg),Mass Error (kg),Force (N),Force Error (N),Reading,VCC (V),ADC bits,ADC Voltage (V)
0,0.5,0,0.23,0,2.26,677337,4.25,24,0.1715828432
3,0.5,1.36,0.23,13.36,2.26,797344,4.25,24,0.201982987
5,0.7,2.27,0.32,22.29,3.14,878442,4.25,24,0.2225267126
6,0.7,2.72,0.32,26.71,3.14,919127,4.25,24,0.2328330268
8,0.9,3.63,0.41,35.65,4.03,960658,4.25,24,0.2433536496
10,0.7,4.54,0.32,44.58,3.14,1058669,4.25,24,0.2681817721
13,0.9,5.9,0.41,57.94,4.03,1176994,4.25,24,0.2981558322
15,0.9,6.8,0.41,66.78,4.03,1246793,4.25,24,0.3158372978
18,1,8.16,0.45,80.13,4.42,1406067,4.25,24,0.3561845485
20,1,9.07,0.45,89.07,4.42,1428337,4.25,24,0.3618259795
23,1.1,10.43,0.5,102.42,4.91,1529099,4.25,24,0.3873509847
26,1.2,11.79,0.54,115.78,5.3,1705258,4.25,24,0.4319755394
