Mass (lbs),Mass Error (lbs),Mass (kg),Mass Error (kg),Force (N),Force Error (N),Reading,VCC (V),ADC bits,ADC Voltage (V)
0.0,0.025,0,0.01,0,0.1,639720,4.25,24,0.1620537139
3.2,0.08,1.45,0.04,14.24,0.39,714801,4.25,24,0.1810732145
5.1,0.1275,2.31,0.06,22.68,0.59,774759,4.25,24,0.1962617604
6.1,0.1525,2.77,0.07,27.2,0.69,834525,4.25,24,0.2114016689
7.7,0.1925,3.49,0.09,34.27,0.88,924714,4.25,24,0.2342483243
10.1,0.2525,4.58,0.11,44.98,1.08,958829,4.25,24,0.2428903277
11.0,0.275,4.99,0.12,49,1.18,1003904,4.25,24,0.2543087157
13.1,0.3275,5.94,0.15,58.33,1.47,1045271,4.25,24,0.264787794
15.2,0.38,6.89,0.17,67.66,1.67,1131305,4.25,24,0.2865819059
16.2,0.405,7.35,0.18,72.18,1.77,1209631,4.25,24,0.306423429
18.3,0.4575,8.3,0.21,81.51,2.06,1260068,4.25,24,0.3192001175
19.6,0.49,8.89,0.22,87.3,2.16,1396024,4.25,24,0.3536404582
22.9,0.5725,10.39,0.26,102.03,2.55,1431093,4.25,24,0.3625241287
26.2,0.655,11.88,0.3,116.66,2.95,1598063,4.25,24,0.4048209283
