ADC Reading,Distance (in),Distance Error (in),Distance (cm),Distance Error (cm)
0,3.2,0.05,8.128,0.127
0,3.3,0.05,8.382,0.127
0,3.6,0.05,9.144,0.127
0,3.7,0.05,9.398,0.127
6,4.0,0.05,10.16,0.127
17,4.1,0.05,10.414,0.127
20,4.2,0.05,10.668,0.127
32,4.3,0.05,10.922,0.127
47,4.5,0.05,11.43,0.127
54,4.6,0.05,11.684,0.127
65,4.7,0.05,11.938,0.127
76,4.9,0.05,12.446,0.127
83,5.0,0.05,12.7,0.127
94,5.1,0.05,12.954,0.127
105,5.2,0.05,13.208,0.127
114,5.4,0.05,13.716,0.127
121,5.5,0.05,13.97,0.127
132,5.7,0.05,14.478,0.127
144,5.8,0.05,14.732,0.127
150,5.9,0.05,14.986,0.127
160,6.0,0.05,15.24,0.127
172,6.1,0.05,15.494,0.127
180,6.3,0.05,16.002,0.127
190,6.4,0.05,16.256,0.127
197,6.5,0.05,16.51,0.127
211,6.6,0.05,16.764,0.127
219,6.8,0.05,17.272,0.127
226,6.9,0.05,17.526,0.127
240,7.0,0.05,17.78,0.127
246,7.2,0.05,18.288,0.127
255,7.3,0.05,18.542,0.127
270,7.4,0.05,18.796,0.127
275,7.6,0.05,19.304,0.127
284,7.7,0.05,19.558,0.127
297,7.8,0.05,19.812,0.127
304,8.0,0.05,20.32,0.127
315,8.1,0.05,20.574,0.127
326,8.2,0.05,20.828,0.127
332,8.3,0.05,21.082,0.127
341,8.4,0.05,21.336,0.127
351,8.6,0.05,21.844,0.127
364,8.7,0.05,22.098,0.127
369,8.8,0.05,22.352,0.127
382,8.9,0.05,22.606,0.127
389,9.0,0.05,22.86,0.127
400,9.2,0.05,23.368,0.127
409,9.3,0.05,23.622,0.127
419,9.5,0.05,24.13,0.127
431,9.6,0.05,24.384,0.127
437,9.7,0.05,24.638,0.127
449,9.9,0.05,25.146,0.127
457,10.0,0.05,25.4,0.127
465,10.1,0.05,25.654,0.127
477,10.2,0.05,25.908,0.127
