# "Outgoing Spectral Radiance Values for OL 455-12-1 (Cal: 12-2) S/N: 04203031","[W/(sr cm^2 nm)]",140129,350.00,2500.00,1.00
# 6.145A Lamp current, 8,902 ft-L
Wavelength [nm],Spectral radiance [W/(sr cm^2 nm)]
350.00,1.6906800E-06
351.00,1.7553320E-06
352.00,1.8176060E-06
353.00,1.8778120E-06
354.00,1.9362560E-06
355.00,1.9932470E-06
356.00,2.0490940E-06
357.00,2.1041050E-06
358.00,2.1585870E-06
359.00,2.2128500E-06
360.00,2.2672000E-06
361.00,2.3219470E-06
362.00,2.3773980E-06
363.00,2.4338620E-06
364.00,2.4916460E-06
365.00,2.5510600E-06
366.00,2.6124110E-06
367.00,2.6760070E-06
368.00,2.7421570E-06
369.00,2.8111690E-06
370.00,2.8833500E-06
371.00,2.9686900E-06
372.00,3.0572300E-06
373.00,3.1486920E-06
374.00,3.2427950E-06
375.00,3.3392630E-06
376.00,3.4378150E-06
377.00,3.5381750E-06
378.00,3.6400630E-06
379.00,3.7432010E-06
380.00,3.8473100E-06
381.00,3.9452220E-06
382.00,4.0439650E-06
383.00,4.1436800E-06
384.00,4.2445040E-06
385.00,4.3465770E-06
386.00,4.4500380E-06
387.00,4.5550250E-06
388.00,4.6616790E-06
389.00,4.7701370E-06
390.00,4.8805400E-06
391.00,4.9957880E-06
392.00,5.1130910E-06
393.00,5.2324210E-06
394.00,5.3537480E-06
395.00,5.4770440E-06
396.00,5.6022810E-06
397.00,5.7294300E-06
398.00,5.8584640E-06
399.00,5.9893530E-06
400.00,6.1220700E-06
401.00,6.2558190E-06
402.00,6.3913840E-06
403.00,6.5287850E-06
404.00,6.6680380E-06
405.00,6.8091620E-06
406.00,6.9521760E-06
407.00,7.0970960E-06
408.00,7.2439420E-06
409.00,7.3927300E-06
410.00,7.5434800E-06
411.00,7.6991440E-06
412.00,7.8566280E-06
413.00,8.0157710E-06
414.00,8.1764140E-06
415.00,8.3383960E-06
416.00,8.5015590E-06
417.00,8.6657410E-06
418.00,8.8307840E-06
419.00,8.9965270E-06
420.00,9.1628100E-06
421.00,9.3249120E-06
422.00,9.4875100E-06
423.00,9.6507230E-06
424.00,9.8146660E-06
425.00,9.9794570E-06
426.00,1.0145210E-05
427.00,1.0312050E-05
428.00,1.0480080E-05
429.00,1.0649420E-05
430.00,1.0820200E-05
431.00,1.0994270E-05
432.00,1.1169890E-05
433.00,1.1347080E-05
434.00,1.1525850E-05
435.00,1.1706220E-05
436.00,1.1888190E-05
437.00,1.2071770E-05
438.00,1.2256970E-05
439.00,1.2443810E-05
440.00,1.2632300E-05
441.00,1.2825540E-05
442.00,1.3020260E-05
443.00,1.3216280E-05
444.00,1.3413440E-05
445.00,1.3611540E-05
446.00,1.3810430E-05
447.00,1.4009910E-05
448.00,1.4209820E-05
449.00,1.4409970E-05
450.00,1.4610200E-05
451.00,1.4802240E-05
452.00,1.4994480E-05
453.00,1.5187250E-05
454.00,1.5380860E-05
455.00,1.5575610E-05
456.00,1.5771830E-05
457.00,1.5969820E-05
458.00,1.6169910E-05
459.00,1.6372390E-05
460.00,1.6577600E-05
461.00,1.6794800E-05
462.00,1.7014800E-05
463.00,1.7237380E-05
464.00,1.7462290E-05
465.00,1.7689320E-05
466.00,1.7918230E-05
467.00,1.8148790E-05
468.00,1.8380780E-05
469.00,1.8613960E-05
470.00,1.8848100E-05
471.00,1.9079720E-05
472.00,1.9312050E-05
473.00,1.9545050E-05
474.00,1.9778680E-05
475.00,2.0012910E-05
476.00,2.0247720E-05
477.00,2.0483060E-05
478.00,2.0718910E-05
479.00,2.0955240E-05
480.00,2.1192000E-05
481.00,2.1426520E-05
482.00,2.1661570E-05
483.00,2.1897280E-05
484.00,2.2133790E-05
485.00,2.2371220E-05
486.00,2.2609710E-05
487.00,2.2849370E-05
488.00,2.3090330E-05
489.00,2.3332730E-05
490.00,2.3576700E-05
491.00,2.3826880E-05
492.00,2.4078600E-05
493.00,2.4331720E-05
494.00,2.4586100E-05
495.00,2.4841590E-05
496.00,2.5098040E-05
497.00,2.5355320E-05
498.00,2.5613260E-05
499.00,2.5871740E-05
500.00,2.6130600E-05
501.00,2.6388040E-05
502.00,2.6645670E-05
503.00,2.6903440E-05
504.00,2.7161330E-05
505.00,2.7419270E-05
506.00,2.7677220E-05
507.00,2.7935150E-05
508.00,2.8193000E-05
509.00,2.8450730E-05
510.00,2.8708300E-05
511.00,2.8963110E-05
512.00,2.9217820E-05
513.00,2.9472530E-05
514.00,2.9727370E-05
515.00,2.9982440E-05
516.00,3.0237850E-05
517.00,3.0493720E-05
518.00,3.0750140E-05
519.00,3.1007230E-05
520.00,3.1265100E-05
