Wavelength (nm),Spectral Radiance (W/(sr cm^2 nm))
350,6.171E-07
360,8.517E-07
370,1.113E-07
380,1.527E-06
390,1.962E-06
400,2.499E-06
410,3.134E-06
420,3.861E-06
430,4.641E-06
440,5.476E-06
450,6.673E-06
460,7.339E-06
470,8.439E-06
480,9.585E-06
490,1.077E-05
500,1.202E-05
510,1.333E-05
520,1.468E-05
530,1.608E-05
540,1.752E-05
550,1.893E-05
560,2.035E-05
570,2.181E-05
580,2.326E-05
590,2.474E-05
600,2.621E-05
610,2.761E-05
620,2.909E-05
630,3.047E-05
640,3.177E-05
650,3.282E-05
660,3.403E-05
670,3.521E-05
680,3.642E-05
690,3.760E-05
700,3.876E-05
710,3.980E-05
720,4.074E-05
730,4.172E-05
740,4.266E-05
750,4.356E-05
760,4.415E-05
770,4.499E-05
780,4.560E-05
790,4.614E-05
800,4.665E-05
810,4.712E-05
820,4.758E-05
830,4.804E-05
840,4.851E-05
850,4.898E-05
860,4.944E-05
870,4.990E-05
880,5.036E-05
890,5.080E-05
900,5.140E-05
910,5.173E-05
920,5.195E-05
930,5.220E-05
940,5.256E-05
950,5.302E-05
960,5.356E-05
970,5.397E-05
980,5.432E-05
990,5.433E-05
1000,5.429E-05
1010,5.425E-05
1020,5.410E-05
1030,5.410E-05
1040,5.409E-05
1050,5.397E-05
1060,5.384E-05
1070,5.359E-05
1080,5.332E-05
1090,5.280E-05
1100,5.170E-05
1110,5.170E-05
1120,5.042E-05
1130,4.995E-05
1140,4.969E-05
1150,4.925E-05
1160,4.980E-05
1170,4.934E-05
1180,4.799E-05
1190,4.763E-05
1200,4.831E-05
1210,4.802E-05
1220,4.771E-05
1230,4.741E-05
1240,4.700E-05
1250,4.659E-05
1260,4.612E-05
1270,4.566E-05
1280,4.542E-05
1290,4.477E-05
1300,4.403E-05
1310,4.326E-05
1320,4.255E-05
1330,4.174E-05
1340,4.046E-05
1350,3.696E-05
1360,3.299E-05
1370,3.337E-05
1380,3.274E-05
1390,3.257E-05
1400,3.202E-05
1410,3.217E-05
1420,3.264E-05
1430,3.283E-05
1440,3.283E-05
1450,3.317E-05
1460,3.313E-05
1470,3.246E-05
1480,3.230E-05
1490,3.230E-05
1500,3.201E-05
1510,3.160E-05
